Teams,Borda Points
georgia-bulldogs,1550
iowa-hawkeyes,1476
cincinnati-bearcats,1407
oklahoma-sooners,1336
alabama-crimson-tide,1286
ohio-state-buckeyes,1157
penn-state-nittany-lions,1147
michigan-wolverines,1139
oregon-ducks,1057
michigan-state-spartans,992
kentucky-wildcats,918
oklahoma-state-cowboys,832
ole-miss-rebels,781
notre-dame-fighting-irish,733
coastal-carolina-chanticleers,717
wake-forest-demon-deacons,534
arkansas-razorbacks,483
byu-cougars,441
arizona-state-sun-devils,441
florida-gators,409
texas-am-aggies,365
southern-methodist-mustangs,258
san-diego-state-aztecs,206
auburn-tigers,117
texas-longhorns,116
clemson-tigers,78
baylor-bears,73
utsa-roadrunners,31
mississippi-state-bulldogs,8
appalachian-state-mountaineers,3
kansas-state-wildcats,3
air-force-falcons,2
pittsburgh-panthers,2
