Teams,Borda Points
alabama-crimson-tide,1571
georgia-bulldogs,1507
ohio-state-buckeyes,1437
oklahoma-sooners,1374
texas-am-aggies,1288
clemson-tigers,1231
cincinnati-bearcats,1140
notre-dame-fighting-irish,1073
iowa-state-cyclones,1050
iowa-hawkeyes,949
penn-state-nittany-lions,917
oregon-ducks,896
florida-gators,857
usc-trojans,806
ucla-bruins,700
coastal-carolina-chanticleers,437
wisconsin-badgers,422
virginia-tech-hokies,399
ole-miss-rebels,382
utah-utes,377
miami-fl-hurricanes,268
arizona-state-sun-devils,268
north-carolina-tar-heels,239
tcu-horned-frogs,101
auburn-tigers,100
north-carolina-state-wolfpack,84
ucf-knights,76
lsu-tigers,71
liberty-flames,71
michigan-wolverines,63
indiana-hoosiers,48
oklahoma-state-cowboys,48
michigan-state-spartans,35
nevada-wolf-pack,29
louisiana-lafayette-ragin-cajuns,18
kansas-state-wildcats,17
byu-cougars,12
ball-state-cardinals,10
boston-college-eagles,10
maryland-terrapins,7
florida-state-seminoles,6
uab-blazers,6
kentucky-wildcats,4
texas-tech-red-raiders,3
army-west-point-black-knights,3
appalachian-state-mountaineers,2
