Teams,Borda Points
georgia-bulldogs,1575
cincinnati-bearcats,1483
oklahoma-sooners,1434
alabama-crimson-tide,1393
ohio-state-buckeyes,1252
michigan-wolverines,1214
penn-state-nittany-lions,1116
oklahoma-state-cowboys,1082
michigan-state-spartans,1076
oregon-ducks,1054
iowa-hawkeyes,1048
ole-miss-rebels,879
notre-dame-fighting-irish,765
coastal-carolina-chanticleers,742
kentucky-wildcats,725
wake-forest-demon-deacons,638
texas-am-aggies,551
north-carolina-state-wolfpack,504
auburn-tigers,427
southern-methodist-mustangs,386
san-diego-state-aztecs,321
pittsburgh-panthers,214
utsa-roadrunners,150
purdue-boilermakers,83
clemson-tigers,73
utah-utes,61
arkansas-razorbacks,35
byu-cougars,29
air-force-falcons,28
iowa-state-cyclones,21
louisiana-lafayette-ragin-cajuns,19
arizona-state-sun-devils,9
florida-gators,8
ucla-bruins,5
texas-longhorns,5
lsu-tigers,3
houston-cougars,3
virginia-cavaliers,2
