Pollster,Season,Week,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th,21st,22nd,23rd,24th,25th
adam-jude,2014,17,ohio-state-buckeyes,oregon-ducks,tcu-horned-frogs,alabama-crimson-tide,michigan-state-spartans,baylor-bears,florida-state-seminoles,georgia-tech-yellow-jackets,boise-state-broncos,ucla-bruins,arizona-wildcats,arizona-state-sun-devils,kansas-state-wildcats,wisconsin-badgers,clemson-tigers,georgia-bulldogs,ole-miss-rebels,mississippi-state-bulldogs,missouri-tigers,marshall-thundering-herd,utah-utes,usc-trojans,auburn-tigers,duke-blue-devils,air-force-falcons
adam-sparks,2014,17,ohio-state-buckeyes,oregon-ducks,alabama-crimson-tide,tcu-horned-frogs,florida-state-seminoles,baylor-bears,michigan-state-spartans,georgia-tech-yellow-jackets,mississippi-state-bulldogs,georgia-bulldogs,ucla-bruins,wisconsin-badgers,missouri-tigers,arizona-state-sun-devils,ole-miss-rebels,boise-state-broncos,kansas-state-wildcats,clemson-tigers,arizona-wildcats,marshall-thundering-herd,utah-utes,usc-trojans,auburn-tigers,duke-blue-devils,memphis-tigers
adam-zucker,2014,17,ohio-state-buckeyes,oregon-ducks,tcu-horned-frogs,michigan-state-spartans,alabama-crimson-tide,baylor-bears,florida-state-seminoles,georgia-tech-yellow-jackets,georgia-bulldogs,ucla-bruins,arizona-state-sun-devils,missouri-tigers,wisconsin-badgers,kansas-state-wildcats,clemson-tigers,boise-state-broncos,arizona-wildcats,ole-miss-rebels,mississippi-state-bulldogs,memphis-tigers,utah-utes,usc-trojans,auburn-tigers,louisville-cardinals,stanford-cardinal
bill-rabinowitz,2014,17,ohio-state-buckeyes,oregon-ducks,tcu-horned-frogs,michigan-state-spartans,alabama-crimson-tide,florida-state-seminoles,baylor-bears,ucla-bruins,georgia-tech-yellow-jackets,arizona-state-sun-devils,georgia-bulldogs,boise-state-broncos,wisconsin-badgers,clemson-tigers,missouri-tigers,utah-utes,usc-trojans,mississippi-state-bulldogs,ole-miss-rebels,kansas-state-wildcats,arizona-wildcats,marshall-thundering-herd,memphis-tigers,louisville-cardinals,colorado-state-rams
bob-asmussen,2014,17,ohio-state-buckeyes,tcu-horned-frogs,oregon-ducks,michigan-state-spartans,alabama-crimson-tide,florida-state-seminoles,baylor-bears,georgia-tech-yellow-jackets,ucla-bruins,wisconsin-badgers,mississippi-state-bulldogs,arizona-state-sun-devils,georgia-bulldogs,missouri-tigers,boise-state-broncos,clemson-tigers,ole-miss-rebels,marshall-thundering-herd,usc-trojans,arizona-wildcats,kansas-state-wildcats,air-force-falcons,louisville-cardinals,auburn-tigers,memphis-tigers
brent-axe,2014,17,ohio-state-buckeyes,oregon-ducks,tcu-horned-frogs,alabama-crimson-tide,florida-state-seminoles,michigan-state-spartans,baylor-bears,georgia-tech-yellow-jackets,wisconsin-badgers,missouri-tigers,boise-state-broncos,ucla-bruins,mississippi-state-bulldogs,georgia-bulldogs,clemson-tigers,arizona-state-sun-devils,ole-miss-rebels,marshall-thundering-herd,usc-trojans,arizona-wildcats,kansas-state-wildcats,northern-illinois-huskies,memphis-tigers,louisville-cardinals,utah-utes
brett-mcmurphy,2014,17,ohio-state-buckeyes,oregon-ducks,tcu-horned-frogs,michigan-state-spartans,alabama-crimson-tide,florida-state-seminoles,baylor-bears,ucla-bruins,georgia-tech-yellow-jackets,georgia-bulldogs,clemson-tigers,boise-state-broncos,arizona-state-sun-devils,usc-trojans,mississippi-state-bulldogs,arizona-wildcats,ole-miss-rebels,utah-utes,wisconsin-badgers,missouri-tigers,kansas-state-wildcats,arkansas-razorbacks,marshall-thundering-herd,memphis-tigers,stanford-cardinal
chadd-cripe,2014,17,ohio-state-buckeyes,oregon-ducks,tcu-horned-frogs,alabama-crimson-tide,florida-state-seminoles,michigan-state-spartans,georgia-tech-yellow-jackets,baylor-bears,ucla-bruins,georgia-bulldogs,ole-miss-rebels,boise-state-broncos,mississippi-state-bulldogs,arizona-wildcats,arizona-state-sun-devils,clemson-tigers,missouri-tigers,wisconsin-badgers,utah-utes,usc-trojans,auburn-tigers,kansas-state-wildcats,memphis-tigers,marshall-thundering-herd,stanford-cardinal
charles-davis,2014,17,ohio-state-buckeyes,tcu-horned-frogs,oregon-ducks,alabama-crimson-tide,florida-state-seminoles,michigan-state-spartans,baylor-bears,georgia-tech-yellow-jackets,clemson-tigers,arizona-state-sun-devils,ucla-bruins,missouri-tigers,mississippi-state-bulldogs,georgia-bulldogs,boise-state-broncos,kansas-state-wildcats,wisconsin-badgers,usc-trojans,arizona-wildcats,utah-utes,auburn-tigers,stanford-cardinal,notre-dame-fighting-irish,louisville-cardinals,marshall-thundering-herd
chris-murray,2014,17,ohio-state-buckeyes,tcu-horned-frogs,oregon-ducks,alabama-crimson-tide,michigan-state-spartans,florida-state-seminoles,baylor-bears,ucla-bruins,georgia-tech-yellow-jackets,georgia-bulldogs,wisconsin-badgers,clemson-tigers,missouri-tigers,boise-state-broncos,kansas-state-wildcats,arizona-wildcats,mississippi-state-bulldogs,arizona-state-sun-devils,utah-utes,usc-trojans,auburn-tigers,ole-miss-rebels,notre-dame-fighting-irish,stanford-cardinal,marshall-thundering-herd
chuck-mcgill,2014,17,ohio-state-buckeyes,alabama-crimson-tide,tcu-horned-frogs,oregon-ducks,florida-state-seminoles,michigan-state-spartans,baylor-bears,georgia-tech-yellow-jackets,wisconsin-badgers,ucla-bruins,missouri-tigers,georgia-bulldogs,arizona-state-sun-devils,mississippi-state-bulldogs,clemson-tigers,boise-state-broncos,arizona-wildcats,kansas-state-wildcats,utah-utes,marshall-thundering-herd,ole-miss-rebels,memphis-tigers,auburn-tigers,louisville-cardinals,usc-trojans
