Pollster,Season,Week,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th,21st,22nd,23rd,24th,25th
adam-jude,2014,3,florida-state-seminoles,oregon-ducks,alabama-crimson-tide,georgia-bulldogs,oklahoma-sooners,texas-am-aggies,auburn-tigers,lsu-tigers,baylor-bears,usc-trojans,notre-dame-fighting-irish,ucla-bruins,michigan-state-spartans,ole-miss-rebels,wisconsin-badgers,stanford-cardinal,arizona-state-sun-devils,oklahoma-state-cowboys,missouri-tigers,virginia-tech-hokies,nebraska-cornhuskers,clemson-tigers,penn-state-nittany-lions,ohio-state-buckeyes,iowa-hawkeyes
adam-sparks,2014,3,florida-state-seminoles,auburn-tigers,texas-am-aggies,oregon-ducks,georgia-bulldogs,oklahoma-sooners,alabama-crimson-tide,lsu-tigers,usc-trojans,baylor-bears,virginia-tech-hokies,ucla-bruins,notre-dame-fighting-irish,ole-miss-rebels,nebraska-cornhuskers,louisville-cardinals,stanford-cardinal,michigan-state-spartans,south-carolina-gamecocks,ohio-state-buckeyes,clemson-tigers,missouri-tigers,arizona-state-sun-devils,byu-cougars,wisconsin-badgers
adam-zucker,2014,3,oregon-ducks,auburn-tigers,oklahoma-sooners,florida-state-seminoles,alabama-crimson-tide,georgia-bulldogs,texas-am-aggies,usc-trojans,notre-dame-fighting-irish,baylor-bears,lsu-tigers,byu-cougars,ucla-bruins,virginia-tech-hokies,michigan-state-spartans,ole-miss-rebels,florida-gators,arizona-state-sun-devils,stanford-cardinal,louisville-cardinals,kansas-state-wildcats,missouri-tigers,ohio-state-buckeyes,clemson-tigers,oklahoma-state-cowboys
bill-rabinowitz,2014,3,florida-state-seminoles,alabama-crimson-tide,oklahoma-sooners,oregon-ducks,auburn-tigers,texas-am-aggies,georgia-bulldogs,usc-trojans,lsu-tigers,baylor-bears,notre-dame-fighting-irish,ucla-bruins,michigan-state-spartans,virginia-tech-hokies,ole-miss-rebels,arizona-state-sun-devils,missouri-tigers,stanford-cardinal,kansas-state-wildcats,north-carolina-tar-heels,mississippi-state-bulldogs,oklahoma-state-cowboys,byu-cougars,louisville-cardinals,clemson-tigers
bob-asmussen,2014,3,florida-state-seminoles,oregon-ducks,alabama-crimson-tide,oklahoma-sooners,auburn-tigers,georgia-bulldogs,texas-am-aggies,baylor-bears,lsu-tigers,michigan-state-spartans,notre-dame-fighting-irish,ucla-bruins,virginia-tech-hokies,ohio-state-buckeyes,usc-trojans,stanford-cardinal,ole-miss-rebels,north-carolina-tar-heels,florida-gators,wisconsin-badgers,missouri-tigers,nebraska-cornhuskers,texas-tech-red-raiders,arizona-state-sun-devils,kansas-state-wildcats
brent-axe,2014,3,florida-state-seminoles,oregon-ducks,georgia-bulldogs,alabama-crimson-tide,oklahoma-sooners,auburn-tigers,texas-am-aggies,lsu-tigers,usc-trojans,baylor-bears,ucla-bruins,ole-miss-rebels,notre-dame-fighting-irish,michigan-state-spartans,virginia-tech-hokies,arizona-state-sun-devils,wisconsin-badgers,south-carolina-gamecocks,ohio-state-buckeyes,missouri-tigers,louisville-cardinals,stanford-cardinal,north-carolina-tar-heels,nebraska-cornhuskers,clemson-tigers
brett-mcmurphy,2014,3,oregon-ducks,georgia-bulldogs,florida-state-seminoles,texas-am-aggies,usc-trojans,lsu-tigers,alabama-crimson-tide,oklahoma-sooners,auburn-tigers,virginia-tech-hokies,michigan-state-spartans,baylor-bears,notre-dame-fighting-irish,stanford-cardinal,ole-miss-rebels,wisconsin-badgers,arizona-state-sun-devils,nebraska-cornhuskers,ucla-bruins,oklahoma-state-cowboys,clemson-tigers,ohio-state-buckeyes,south-carolina-gamecocks,byu-cougars,kansas-state-wildcats
chadd-cripe,2014,3,florida-state-seminoles,auburn-tigers,oregon-ducks,georgia-bulldogs,texas-am-aggies,oklahoma-sooners,alabama-crimson-tide,usc-trojans,virginia-tech-hokies,michigan-state-spartans,stanford-cardinal,notre-dame-fighting-irish,lsu-tigers,ole-miss-rebels,ucla-bruins,clemson-tigers,missouri-tigers,baylor-bears,byu-cougars,oklahoma-state-cowboys,louisville-cardinals,duke-blue-devils,arizona-state-sun-devils,south-carolina-gamecocks,arizona-wildcats
charles-davis,2014,3,florida-state-seminoles,oregon-ducks,auburn-tigers,oklahoma-sooners,alabama-crimson-tide,usc-trojans,ucla-bruins,lsu-tigers,baylor-bears,texas-am-aggies,georgia-bulldogs,notre-dame-fighting-irish,virginia-tech-hokies,michigan-state-spartans,arizona-state-sun-devils,stanford-cardinal,ole-miss-rebels,byu-cougars,ohio-state-buckeyes,wisconsin-badgers,florida-gators,nebraska-cornhuskers,south-carolina-gamecocks,duke-blue-devils,missouri-tigers
chris-murray,2014,3,florida-state-seminoles,oregon-ducks,texas-am-aggies,alabama-crimson-tide,oklahoma-sooners,usc-trojans,georgia-bulldogs,lsu-tigers,baylor-bears,auburn-tigers,arizona-state-sun-devils,notre-dame-fighting-irish,ole-miss-rebels,ucla-bruins,stanford-cardinal,michigan-state-spartans,wisconsin-badgers,penn-state-nittany-lions,north-carolina-tar-heels,louisville-cardinals,south-carolina-gamecocks,byu-cougars,virginia-tech-hokies,kansas-state-wildcats,marshall-thundering-herd
