Teams,Borda Points
georgia-bulldogs,1574
ohio-state-buckeyes,1500
michigan-wolverines,1455
tcu-horned-frogs,1361
tennessee-volunteers,1339
oregon-ducks,1258
lsu-tigers,1133
usc-trojans,1061
ucla-bruins,1041
alabama-crimson-tide,1010
ole-miss-rebels,962
clemson-tigers,941
utah-utes,886
penn-state-nittany-lions,760
tulane-green-wave,657
north-carolina-state-wolfpack,599
texas-longhorns,456
liberty-flames,412
notre-dame-fighting-irish,361
illinois-fighting-illini,314
ucf-knights,308
kansas-state-wildcats,298
washington-huskies,237
florida-state-seminoles,103
cincinnati-bearcats,98
kentucky-wildcats,72
coastal-carolina-chanticleers,66
wake-forest-demon-deacons,41
oklahoma-state-cowboys,27
baylor-bears,25
kansas-jayhawks,15
utsa-roadrunners,8
mississippi-state-bulldogs,8
troy-trojans,7
south-carolina-gamecocks,7
louisville-cardinals,6
oregon-state-beavers,4
san-jose-state-spartans,2
