Teams,Borda Points
alabama-crimson-tide,1566
ohio-state-buckeyes,1506
georgia-bulldogs,1455
clemson-tigers,1292
notre-dame-fighting-irish,1242
texas-am-aggies,1213
utah-utes,1210
michigan-wolverines,1203
oklahoma-sooners,959
baylor-bears,888
oregon-ducks,836
oklahoma-state-cowboys,815
north-carolina-state-wolfpack,757
usc-trojans,721
michigan-state-spartans,641
miami-fl-hurricanes,490
pittsburgh-panthers,403
wisconsin-badgers,387
arkansas-razorbacks,363
ole-miss-rebels,338
wake-forest-demon-deacons,312
cincinnati-bearcats,290
houston-cougars,284
byu-cougars,247
tennessee-volunteers,199
iowa-hawkeyes,180
texas-longhorns,174
penn-state-nittany-lions,171
lsu-tigers,59
fresno-state-bulldogs,36
minnesota-golden-gophers,34
ucf-knights,30
purdue-boilermakers,21
mississippi-state-bulldogs,17
kansas-state-wildcats,15
auburn-tigers,15
florida-gators,15
north-carolina-tar-heels,10
boise-state-broncos,7
air-force-falcons,5
appalachian-state-mountaineers,5
ucla-bruins,3
south-carolina-gamecocks,3
san-diego-state-aztecs,3
utah-state-aggies,2
nebraska-cornhuskers,1
