Teams,Borda Points
alabama-crimson-tide,1520
georgia-bulldogs,1468
notre-dame-fighting-irish,1357
clemson-tigers,1289
oklahoma-sooners,1258
wisconsin-badgers,1256
miami-fl-hurricanes,1220
tcu-horned-frogs,1087
washington-huskies,1061
auburn-tigers,889
ohio-state-buckeyes,805
oklahoma-state-cowboys,796
michigan-state-spartans,790
usc-trojans,755
penn-state-nittany-lions,743
virginia-tech-hokies,581
mississippi-state-bulldogs,516
washington-state-cougars,474
memphis-tigers,434
michigan-wolverines,227
south-florida-bulls,212
west-virginia-mountaineers,206
iowa-state-cyclones,201
iowa-hawkeyes,182
lsu-tigers,176
north-carolina-state-wolfpack,131
toledo-rockets,45
stanford-cardinal,32
arizona-wildcats,19
boise-state-broncos,19
northwestern-wildcats,9
army-west-point-black-knights,4
san-diego-state-aztecs,2
