Teams,Borda Points
clemson-tigers,1479
oklahoma-sooners,1464
wisconsin-badgers,1408
auburn-tigers,1376
georgia-bulldogs,1279
miami-fl-hurricanes,1179
ohio-state-buckeyes,1166
penn-state-nittany-lions,1021
tcu-horned-frogs,1017
usc-trojans,997
ucf-knights,967
washington-huskies,825
stanford-cardinal,754
notre-dame-fighting-irish,653
memphis-tigers,643
lsu-tigers,627
oklahoma-state-cowboys,593
michigan-state-spartans,518
northwestern-wildcats,438
washington-state-cougars,386
virginia-tech-hokies,358
south-florida-bulls,150
mississippi-state-bulldogs,124
fresno-state-bulldogs,89
north-carolina-state-wolfpack,83
san-diego-state-aztecs,69
louisville-cardinals,24
toledo-rockets,20
michigan-wolverines,20
boise-state-broncos,18
virginia-cavaliers,5
florida-atlantic-owls,4
missouri-tigers,4
troy-trojans,2
kansas-state-wildcats,2
iowa-state-cyclones,2
