Teams,Borda Points
alabama-crimson-tide,1524
ohio-state-buckeyes,1445
clemson-tigers,1318
penn-state-nittany-lions,1303
oklahoma-sooners,1254
usc-trojans,1228
washington-huskies,1091
michigan-wolverines,1058
wisconsin-badgers,988
florida-state-seminoles,988
oklahoma-state-cowboys,959
lsu-tigers,914
auburn-tigers,892
georgia-bulldogs,724
miami-fl-hurricanes,590
louisville-cardinals,580
virginia-tech-hokies,547
kansas-state-wildcats,452
washington-state-cougars,263
south-florida-bulls,246
florida-gators,202
tcu-horned-frogs,186
notre-dame-fighting-irish,168
tennessee-volunteers,156
utah-utes,119
ucla-bruins,103
west-virginia-mountaineers,93
colorado-buffaloes,82
maryland-terrapins,63
oregon-ducks,57
south-carolina-gamecocks,56
boise-state-broncos,28
northwestern-wildcats,25
houston-cougars,16
san-diego-state-aztecs,15
texas-tech-red-raiders,6
iowa-hawkeyes,5
kentucky-wildcats,5
california-golden-bears,3
vanderbilt-commodores,2
mississippi-state-bulldogs,2
pittsburgh-panthers,2
michigan-state-spartans,2
navy-midshipmen,2
nebraska-cornhuskers,2
