Season,Week,Highest Diff Ranking
2014,2,2
2015,4,3
2019,7,3
2015,7,3
2020,7,3
2020,4,3
2023,4,3
2023,5,4
2016,3,4
2020,5,4
2020,6,4
2024,3,4
2014,9,4
2017,2,5
2016,15,5
2020,3,5
2020,10,5
2020,2,5
2016,6,5
2015,1,5
2018,15,5
2017,11,5
2023,3,5
2017,16,5
2014,17,5
2014,14,5
2017,10,6
2017,15,6
2016,7,6
2018,16,6
2019,17,6
2018,13,6
2020,11,6
2016,10,6
2020,12,6
2020,13,6
2019,16,6
2018,7,6
2015,5,6
2020,14,6
2015,6,6
2023,12,6
2023,6,6
2021,7,6
2015,14,6
2021,12,6
2024,4,7
2019,3,7
2023,9,7
2023,1,7
2023,10,7
2023,11,7
2024,1,7
2018,12,7
2019,2,7
2022,15,7
2020,15,7
2022,13,7
2022,12,7
2022,6,7
2022,5,7
2021,11,7
2021,8,7
2020,8,7
2021,5,7
2020,17,7
2020,16,7
2018,11,7
2019,8,7
2019,4,7
2024,5,7
2015,16,7
2014,4,7
2016,12,7
2014,7,7
2014,8,7
2017,9,7
2015,3,7
2017,14,7
2014,16,7
2021,10,8
2015,13,8
2015,15,8
2018,6,8
2016,1,8
2016,2,8
2016,5,8
2016,8,8
2016,9,8
2021,13,8
2021,14,8
2015,10,8
2022,3,8
2022,4,8
2022,10,8
2022,11,8
2014,15,8
2014,13,8
2023,7,8
2023,8,8
2014,6,8
2014,5,8
2021,16,8
2020,9,8
2018,8,8
2019,10,8
2019,15,8
2017,7,8
2019,1,8
2017,8,8
2017,12,8
2019,5,8
2019,12,8
2018,4,8
2017,5,8
2018,10,8
2019,6,8
2017,3,8
2019,11,8
2018,9,8
2018,5,8
2019,14,8
2022,14,9
2016,13,9
2016,14,9
2018,1,9
2014,10,9
2018,3,9
2023,13,9
2023,16,9
2024,2,9
2017,13,9
2023,2,9
2015,9,9
2022,2,9
2022,1,9
2016,11,9
2017,1,9
2017,4,9
2015,12,9
2021,9,9
2021,1,9
2021,2,9
2017,6,9
2016,16,10
2023,15,10
2016,4,10
2020,1,10
2018,2,10
2021,3,10
2014,1,10
2021,4,10
2022,16,10
2015,11,10
2015,8,10
2022,7,10
2018,14,11
2022,9,11
2014,3,11
2014,11,11
2021,6,12
2019,13,12
2021,15,12
2019,9,12
2014,12,13
2023,14,13
2022,8,13
