Season,Week,Highest Diff Ranking
2020,4,3
2020,7,3
2020,5,5
2020,6,5
2018,8,6
2022,1,7
2022,5,7
2017,3,8
2019,2,8
2022,4,8
2018,10,8
2016,2,8
2014,8,8
2014,7,8
2024,3,8
2014,2,8
2019,8,8
2016,15,8
2020,8,9
2020,10,9
2016,9,9
2019,12,9
2017,15,9
2017,2,9
2022,3,9
2014,13,9
2022,15,9
2018,7,9
2018,4,9
2019,6,9
2016,7,9
2017,1,10
2016,13,10
2019,11,10
2016,11,10
2019,14,10
2018,11,10
2017,7,10
2019,4,10
2018,2,10
2020,11,10
2020,14,10
2015,11,10
2020,15,10
2020,17,10
2021,1,10
2015,6,10
2021,4,10
2014,4,10
2014,16,10
2024,2,10
2023,4,10
2023,2,10
2018,3,11
2018,5,11
2022,2,11
2022,11,11
2019,17,11
2021,12,11
2021,3,11
2022,12,11
2020,9,11
2014,1,11
2014,3,11
2017,12,11
2017,11,11
2017,4,11
2014,11,11
2016,1,11
2015,8,12
2016,12,12
2019,13,12
2016,6,12
2016,4,12
2015,15,12
2021,6,12
2021,15,12
2015,4,12
2019,9,12
2014,15,12
2022,9,12
2022,16,12
2023,11,12
2023,16,12
2014,5,12
2021,10,12
2016,14,12
2024,5,12
2016,16,12
2018,13,12
2017,8,12
2018,12,12
2018,16,12
2021,11,13
2017,5,13
2021,8,13
2021,16,13
2021,5,13
2015,1,13
2018,9,13
2014,12,13
2022,13,13
2015,14,13
2014,10,13
2018,1,13
2019,1,13
2024,1,13
2020,3,13
2020,2,13
2023,5,13
2023,13,13
2023,7,13
2023,10,13
2016,3,13
2023,8,13
2019,15,13
2014,9,14
2017,13,14
2015,3,14
2022,7,14
2022,8,14
2022,10,14
2022,14,14
2014,6,14
2017,9,14
2022,6,14
2019,7,14
2021,14,14
2021,9,14
2019,10,14
2016,10,14
2024,4,14
2021,13,14
2015,13,14
2015,10,14
2020,16,14
2015,9,14
2015,16,14
2021,2,14
2017,14,14
2021,7,14
2023,14,15
2019,5,15
2023,12,15
2018,6,15
2016,8,15
2023,6,15
2016,5,15
2020,1,15
2014,17,15
2017,6,15
2020,12,15
2020,13,15
2015,12,15
2014,14,15
2015,7,15
2018,14,15
2017,10,16
2018,15,16
2019,16,16
2023,9,16
2023,15,16
2023,3,16
2019,3,17
2015,5,17
2023,1,18
2017,16,18
