Teams,Borda Points
ohio-state-buckeyes,1465
baylor-bears,1408
clemson-tigers,1381
lsu-tigers,1346
tcu-horned-frogs,1336
michigan-state-spartans,1249
alabama-crimson-tide,1160
notre-dame-fighting-irish,1019
stanford-cardinal,1014
iowa-hawkeyes,954
florida-gators,923
oklahoma-state-cowboys,879
utah-utes,809
oklahoma-sooners,712
memphis-tigers,683
michigan-wolverines,613
florida-state-seminoles,571
houston-cougars,466
ole-miss-rebels,414
toledo-rockets,366
north-carolina-tar-heels,248
ucla-bruins,190
temple-owls,175
mississippi-state-bulldogs,144
texas-am-aggies,101
wisconsin-badgers,64
usc-trojans,57
byu-cougars,27
northwestern-wildcats,21
duke-blue-devils,7
penn-state-nittany-lions,5
boise-state-broncos,4
appalachian-state-mountaineers,4
california-golden-bears,4
tennessee-volunteers,2
pittsburgh-panthers,2
washington-state-cougars,1
