Pollster,Season,Week,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th,21st,22nd,23rd,24th,25th
adam-jude,2015,4,ohio-state-buckeyes,michigan-state-spartans,tcu-horned-frogs,ole-miss-rebels,baylor-bears,lsu-tigers,ucla-bruins,notre-dame-fighting-irish,texas-am-aggies,georgia-bulldogs,oregon-ducks,alabama-crimson-tide,clemson-tigers,florida-state-seminoles,oklahoma-sooners,usc-trojans,arizona-wildcats,utah-utes,georgia-tech-yellow-jackets,missouri-tigers,mississippi-state-bulldogs,byu-cougars,oklahoma-state-cowboys,northwestern-wildcats,stanford-cardinal
adam-zucker,2015,4,ohio-state-buckeyes,tcu-horned-frogs,michigan-state-spartans,georgia-bulldogs,baylor-bears,ole-miss-rebels,notre-dame-fighting-irish,lsu-tigers,texas-am-aggies,ucla-bruins,oklahoma-sooners,alabama-crimson-tide,oregon-ducks,florida-state-seminoles,clemson-tigers,usc-trojans,utah-utes,arizona-wildcats,oklahoma-state-cowboys,georgia-tech-yellow-jackets,northwestern-wildcats,wisconsin-badgers,byu-cougars,toledo-rockets,temple-owls
bob-asmussen,2015,4,ohio-state-buckeyes,michigan-state-spartans,ole-miss-rebels,tcu-horned-frogs,baylor-bears,lsu-tigers,georgia-bulldogs,notre-dame-fighting-irish,florida-state-seminoles,ucla-bruins,alabama-crimson-tide,texas-am-aggies,oregon-ducks,oklahoma-sooners,clemson-tigers,stanford-cardinal,usc-trojans,auburn-tigers,utah-utes,arizona-wildcats,florida-gators,wisconsin-badgers,miami-fl-hurricanes,northwestern-wildcats,oklahoma-state-cowboys
brent-axe,2015,4,ohio-state-buckeyes,michigan-state-spartans,tcu-horned-frogs,notre-dame-fighting-irish,georgia-bulldogs,baylor-bears,ucla-bruins,ole-miss-rebels,lsu-tigers,alabama-crimson-tide,texas-am-aggies,oklahoma-sooners,oregon-ducks,clemson-tigers,florida-state-seminoles,northwestern-wildcats,stanford-cardinal,utah-utes,usc-trojans,arizona-wildcats,oklahoma-state-cowboys,missouri-tigers,california-golden-bears,georgia-tech-yellow-jackets,florida-gators
brett-mcmurphy,2015,4,michigan-state-spartans,ohio-state-buckeyes,notre-dame-fighting-irish,ole-miss-rebels,lsu-tigers,georgia-bulldogs,tcu-horned-frogs,baylor-bears,ucla-bruins,texas-am-aggies,oklahoma-sooners,oregon-ducks,clemson-tigers,alabama-crimson-tide,northwestern-wildcats,florida-state-seminoles,stanford-cardinal,arizona-wildcats,usc-trojans,utah-utes,toledo-rockets,houston-cougars,temple-owls,byu-cougars,california-golden-bears
brian-howell,2015,4,ohio-state-buckeyes,michigan-state-spartans,tcu-horned-frogs,ole-miss-rebels,georgia-bulldogs,baylor-bears,notre-dame-fighting-irish,florida-state-seminoles,lsu-tigers,alabama-crimson-tide,usc-trojans,oregon-ducks,clemson-tigers,ucla-bruins,oklahoma-sooners,georgia-tech-yellow-jackets,texas-am-aggies,utah-utes,arizona-wildcats,wisconsin-badgers,byu-cougars,boise-state-broncos,tennessee-volunteers,northwestern-wildcats,stanford-cardinal
chadd-cripe,2015,4,ohio-state-buckeyes,ole-miss-rebels,michigan-state-spartans,ucla-bruins,notre-dame-fighting-irish,lsu-tigers,tcu-horned-frogs,oregon-ducks,texas-am-aggies,georgia-bulldogs,alabama-crimson-tide,baylor-bears,northwestern-wildcats,oklahoma-sooners,clemson-tigers,georgia-tech-yellow-jackets,florida-state-seminoles,utah-utes,arizona-wildcats,missouri-tigers,stanford-cardinal,byu-cougars,mississippi-state-bulldogs,usc-trojans,temple-owls
chris-murray,2015,4,ohio-state-buckeyes,michigan-state-spartans,ole-miss-rebels,tcu-horned-frogs,notre-dame-fighting-irish,lsu-tigers,ucla-bruins,georgia-bulldogs,baylor-bears,texas-am-aggies,clemson-tigers,florida-state-seminoles,oklahoma-sooners,alabama-crimson-tide,oregon-ducks,northwestern-wildcats,utah-utes,arizona-wildcats,stanford-cardinal,georgia-tech-yellow-jackets,usc-trojans,missouri-tigers,california-golden-bears,kansas-state-wildcats,oklahoma-state-cowboys
dave-reardon,2015,4,ole-miss-rebels,michigan-state-spartans,baylor-bears,tcu-horned-frogs,ohio-state-buckeyes,georgia-bulldogs,lsu-tigers,clemson-tigers,alabama-crimson-tide,notre-dame-fighting-irish,florida-state-seminoles,oregon-ducks,ucla-bruins,oklahoma-sooners,texas-am-aggies,northwestern-wildcats,arizona-wildcats,stanford-cardinal,missouri-tigers,georgia-tech-yellow-jackets,usc-trojans,tennessee-volunteers,utah-utes,mississippi-state-bulldogs,miami-fl-hurricanes
david-briggs,2015,4,ohio-state-buckeyes,michigan-state-spartans,ole-miss-rebels,notre-dame-fighting-irish,lsu-tigers,tcu-horned-frogs,baylor-bears,georgia-bulldogs,ucla-bruins,florida-state-seminoles,texas-am-aggies,oklahoma-sooners,oregon-ducks,alabama-crimson-tide,clemson-tigers,northwestern-wildcats,arizona-wildcats,stanford-cardinal,georgia-tech-yellow-jackets,usc-trojans,utah-utes,missouri-tigers,toledo-rockets,wisconsin-badgers,oklahoma-state-cowboys
doug-doughty,2015,4,ohio-state-buckeyes,ole-miss-rebels,baylor-bears,michigan-state-spartans,ucla-bruins,florida-state-seminoles,notre-dame-fighting-irish,tcu-horned-frogs,lsu-tigers,alabama-crimson-tide,clemson-tigers,oklahoma-sooners,georgia-bulldogs,texas-am-aggies,oregon-ducks,utah-utes,arizona-wildcats,northwestern-wildcats,usc-trojans,georgia-tech-yellow-jackets,wisconsin-badgers,houston-cougars,missouri-tigers,oklahoma-state-cowboys,kansas-state-wildcats
doug-lesmerises,2015,4,ole-miss-rebels,michigan-state-spartans,ohio-state-buckeyes,notre-dame-fighting-irish,ucla-bruins,lsu-tigers,tcu-horned-frogs,clemson-tigers,oklahoma-sooners,baylor-bears,georgia-bulldogs,northwestern-wildcats,texas-am-aggies,stanford-cardinal,alabama-crimson-tide,florida-state-seminoles,utah-utes,byu-cougars,oregon-ducks,usc-trojans,wisconsin-badgers,temple-owls,arizona-wildcats,georgia-tech-yellow-jackets,california-golden-bears
