Pollster,Season,Week,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th,21st,22nd,23rd,24th,25th
michael-lev,2015,6,baylor-bears,tcu-horned-frogs,lsu-tigers,ohio-state-buckeyes,michigan-state-spartans,clemson-tigers,utah-utes,alabama-crimson-tide,oklahoma-sooners,texas-am-aggies,florida-gators,notre-dame-fighting-irish,florida-state-seminoles,ole-miss-rebels,northwestern-wildcats,stanford-cardinal,georgia-bulldogs,usc-trojans,ucla-bruins,michigan-wolverines,iowa-hawkeyes,houston-cougars,california-golden-bears,oklahoma-state-cowboys,toledo-rockets
mike-sands,2015,6,ohio-state-buckeyes,baylor-bears,tcu-horned-frogs,michigan-state-spartans,clemson-tigers,utah-utes,oklahoma-sooners,texas-am-aggies,lsu-tigers,alabama-crimson-tide,florida-state-seminoles,florida-gators,northwestern-wildcats,notre-dame-fighting-irish,stanford-cardinal,ole-miss-rebels,ucla-bruins,usc-trojans,michigan-wolverines,iowa-hawkeyes,georgia-bulldogs,oklahoma-state-cowboys,duke-blue-devils,california-golden-bears,temple-owls
mike-sorensen,2015,6,ohio-state-buckeyes,tcu-horned-frogs,baylor-bears,michigan-state-spartans,utah-utes,lsu-tigers,alabama-crimson-tide,clemson-tigers,florida-state-seminoles,texas-am-aggies,oklahoma-sooners,florida-gators,ole-miss-rebels,usc-trojans,northwestern-wildcats,stanford-cardinal,notre-dame-fighting-irish,ucla-bruins,michigan-wolverines,oklahoma-state-cowboys,georgia-bulldogs,california-golden-bears,boise-state-broncos,toledo-rockets,iowa-hawkeyes
mitch-vingle,2015,6,baylor-bears,ohio-state-buckeyes,oklahoma-sooners,tcu-horned-frogs,lsu-tigers,michigan-state-spartans,clemson-tigers,texas-am-aggies,utah-utes,florida-gators,florida-state-seminoles,ole-miss-rebels,alabama-crimson-tide,notre-dame-fighting-irish,northwestern-wildcats,stanford-cardinal,usc-trojans,oklahoma-state-cowboys,ucla-bruins,georgia-bulldogs,iowa-hawkeyes,michigan-wolverines,california-golden-bears,toledo-rockets,duke-blue-devils
nate-sandell,2015,6,ohio-state-buckeyes,tcu-horned-frogs,michigan-state-spartans,baylor-bears,clemson-tigers,utah-utes,lsu-tigers,florida-state-seminoles,alabama-crimson-tide,texas-am-aggies,oklahoma-sooners,florida-gators,ole-miss-rebels,northwestern-wildcats,stanford-cardinal,usc-trojans,notre-dame-fighting-irish,georgia-bulldogs,ucla-bruins,iowa-hawkeyes,oklahoma-state-cowboys,michigan-wolverines,california-golden-bears,oregon-ducks,toledo-rockets
nathan-deen,2015,6,ohio-state-buckeyes,michigan-state-spartans,clemson-tigers,oklahoma-sooners,tcu-horned-frogs,utah-utes,texas-am-aggies,florida-gators,baylor-bears,lsu-tigers,northwestern-wildcats,notre-dame-fighting-irish,ole-miss-rebels,alabama-crimson-tide,florida-state-seminoles,michigan-wolverines,stanford-cardinal,usc-trojans,ucla-bruins,georgia-bulldogs,toledo-rockets,navy-midshipmen,west-virginia-mountaineers,boise-state-broncos,oklahoma-state-cowboys
pete-diprimio,2015,6,tcu-horned-frogs,ohio-state-buckeyes,michigan-state-spartans,baylor-bears,utah-utes,alabama-crimson-tide,lsu-tigers,clemson-tigers,florida-state-seminoles,florida-gators,texas-am-aggies,oklahoma-sooners,notre-dame-fighting-irish,northwestern-wildcats,ole-miss-rebels,stanford-cardinal,georgia-bulldogs,usc-trojans,oklahoma-state-cowboys,michigan-wolverines,ucla-bruins,california-golden-bears,memphis-tigers,toledo-rockets,iowa-hawkeyes
rob-long,2015,6,ohio-state-buckeyes,michigan-state-spartans,baylor-bears,tcu-horned-frogs,clemson-tigers,alabama-crimson-tide,florida-state-seminoles,oklahoma-sooners,lsu-tigers,utah-utes,texas-am-aggies,florida-gators,notre-dame-fighting-irish,northwestern-wildcats,oklahoma-state-cowboys,michigan-wolverines,iowa-hawkeyes,stanford-cardinal,ole-miss-rebels,georgia-bulldogs,usc-trojans,ucla-bruins,temple-owls,california-golden-bears,missouri-tigers
robert-cessna,2015,6,ohio-state-buckeyes,tcu-horned-frogs,michigan-state-spartans,baylor-bears,clemson-tigers,lsu-tigers,florida-state-seminoles,texas-am-aggies,alabama-crimson-tide,utah-utes,oklahoma-sooners,florida-gators,ole-miss-rebels,notre-dame-fighting-irish,usc-trojans,stanford-cardinal,ucla-bruins,georgia-bulldogs,northwestern-wildcats,michigan-wolverines,california-golden-bears,iowa-hawkeyes,oklahoma-state-cowboys,toledo-rockets,houston-cougars
robert-gagliardi,2015,6,ohio-state-buckeyes,tcu-horned-frogs,michigan-state-spartans,baylor-bears,clemson-tigers,lsu-tigers,utah-utes,florida-state-seminoles,alabama-crimson-tide,texas-am-aggies,oklahoma-sooners,florida-gators,northwestern-wildcats,stanford-cardinal,usc-trojans,notre-dame-fighting-irish,georgia-bulldogs,ole-miss-rebels,oklahoma-state-cowboys,michigan-wolverines,california-golden-bears,iowa-hawkeyes,ucla-bruins,houston-cougars,toledo-rockets
ross-dellenger,2015,6,tcu-horned-frogs,ohio-state-buckeyes,michigan-state-spartans,baylor-bears,oklahoma-sooners,lsu-tigers,utah-utes,florida-state-seminoles,texas-am-aggies,clemson-tigers,alabama-crimson-tide,northwestern-wildcats,florida-gators,stanford-cardinal,notre-dame-fighting-irish,iowa-hawkeyes,ucla-bruins,usc-trojans,georgia-bulldogs,ole-miss-rebels,michigan-wolverines,oklahoma-state-cowboys,oregon-ducks,memphis-tigers,california-golden-bears
rustin-dodd,2015,6,ohio-state-buckeyes,tcu-horned-frogs,baylor-bears,utah-utes,michigan-state-spartans,clemson-tigers,alabama-crimson-tide,lsu-tigers,texas-am-aggies,florida-gators,oklahoma-sooners,florida-state-seminoles,notre-dame-fighting-irish,northwestern-wildcats,ole-miss-rebels,oklahoma-state-cowboys,michigan-wolverines,stanford-cardinal,usc-trojans,ucla-bruins,georgia-bulldogs,california-golden-bears,iowa-hawkeyes,boise-state-broncos,toledo-rockets
ryan-finley,2015,6,ohio-state-buckeyes,michigan-state-spartans,tcu-horned-frogs,baylor-bears,florida-state-seminoles,clemson-tigers,lsu-tigers,alabama-crimson-tide,ole-miss-rebels,notre-dame-fighting-irish,oklahoma-sooners,utah-utes,california-golden-bears,stanford-cardinal,ucla-bruins,georgia-bulldogs,northwestern-wildcats,usc-trojans,texas-am-aggies,oregon-ducks,florida-gators,oklahoma-state-cowboys,michigan-wolverines,boise-state-broncos,toledo-rockets
sam-mckewon,2015,6,utah-utes,baylor-bears,lsu-tigers,tcu-horned-frogs,alabama-crimson-tide,ohio-state-buckeyes,notre-dame-fighting-irish,clemson-tigers,northwestern-wildcats,stanford-cardinal,usc-trojans,florida-gators,texas-am-aggies,oklahoma-sooners,michigan-state-spartans,ole-miss-rebels,michigan-wolverines,ucla-bruins,oklahoma-state-cowboys,california-golden-bears,florida-state-seminoles,georgia-bulldogs,iowa-hawkeyes,west-virginia-mountaineers,arizona-state-sun-devils
sam-werner,2015,6,baylor-bears,utah-utes,ohio-state-buckeyes,tcu-horned-frogs,texas-am-aggies,clemson-tigers,michigan-state-spartans,lsu-tigers,oklahoma-sooners,florida-gators,ole-miss-rebels,alabama-crimson-tide,florida-state-seminoles,northwestern-wildcats,stanford-cardinal,notre-dame-fighting-irish,iowa-hawkeyes,usc-trojans,michigan-wolverines,ucla-bruins,georgia-bulldogs,oklahoma-state-cowboys,california-golden-bears,toledo-rockets,duke-blue-devils
scott-hamilton,2015,6,ohio-state-buckeyes,tcu-horned-frogs,baylor-bears,michigan-state-spartans,clemson-tigers,utah-utes,lsu-tigers,alabama-crimson-tide,texas-am-aggies,florida-state-seminoles,oklahoma-sooners,northwestern-wildcats,florida-gators,ole-miss-rebels,usc-trojans,georgia-bulldogs,notre-dame-fighting-irish,oklahoma-state-cowboys,ucla-bruins,michigan-wolverines,stanford-cardinal,california-golden-bears,duke-blue-devils,iowa-hawkeyes,toledo-rockets
scott-wolf,2015,6,baylor-bears,lsu-tigers,ohio-state-buckeyes,florida-state-seminoles,tcu-horned-frogs,texas-am-aggies,utah-utes,florida-gators,alabama-crimson-tide,michigan-state-spartans,clemson-tigers,oklahoma-sooners,ole-miss-rebels,northwestern-wildcats,georgia-bulldogs,stanford-cardinal,michigan-wolverines,toledo-rockets,notre-dame-fighting-irish,oklahoma-state-cowboys,iowa-hawkeyes,texas-tech-red-raiders,california-golden-bears,usc-trojans,ucla-bruins
steve-batterson,2015,6,ohio-state-buckeyes,tcu-horned-frogs,michigan-state-spartans,baylor-bears,lsu-tigers,florida-state-seminoles,oklahoma-sooners,clemson-tigers,texas-am-aggies,utah-utes,ole-miss-rebels,alabama-crimson-tide,notre-dame-fighting-irish,usc-trojans,georgia-bulldogs,ucla-bruins,northwestern-wildcats,oklahoma-state-cowboys,stanford-cardinal,florida-gators,iowa-hawkeyes,california-golden-bears,michigan-wolverines,toledo-rockets,houston-cougars
steve-layman,2015,6,ohio-state-buckeyes,tcu-horned-frogs,utah-utes,lsu-tigers,baylor-bears,michigan-state-spartans,clemson-tigers,texas-am-aggies,oklahoma-sooners,northwestern-wildcats,florida-gators,ole-miss-rebels,alabama-crimson-tide,florida-state-seminoles,notre-dame-fighting-irish,stanford-cardinal,usc-trojans,ucla-bruins,iowa-hawkeyes,michigan-wolverines,georgia-bulldogs,oklahoma-state-cowboys,california-golden-bears,boise-state-broncos,memphis-tigers
tim-griffin,2015,6,ohio-state-buckeyes,tcu-horned-frogs,baylor-bears,michigan-state-spartans,lsu-tigers,utah-utes,clemson-tigers,notre-dame-fighting-irish,florida-gators,ole-miss-rebels,alabama-crimson-tide,ucla-bruins,oklahoma-sooners,florida-state-seminoles,texas-am-aggies,georgia-bulldogs,northwestern-wildcats,stanford-cardinal,usc-trojans,oklahoma-state-cowboys,california-golden-bears,iowa-hawkeyes,michigan-wolverines,toledo-rockets,boise-state-broncos
tom-dangelo,2015,6,ohio-state-buckeyes,tcu-horned-frogs,baylor-bears,michigan-state-spartans,clemson-tigers,utah-utes,oklahoma-sooners,lsu-tigers,alabama-crimson-tide,florida-gators,florida-state-seminoles,texas-am-aggies,northwestern-wildcats,oklahoma-state-cowboys,stanford-cardinal,notre-dame-fighting-irish,michigan-wolverines,usc-trojans,ole-miss-rebels,iowa-hawkeyes,ucla-bruins,california-golden-bears,georgia-bulldogs,duke-blue-devils,temple-owls
tom-murphy,2015,6,baylor-bears,ohio-state-buckeyes,tcu-horned-frogs,lsu-tigers,michigan-state-spartans,alabama-crimson-tide,oklahoma-sooners,clemson-tigers,utah-utes,florida-state-seminoles,notre-dame-fighting-irish,ole-miss-rebels,georgia-bulldogs,texas-am-aggies,northwestern-wildcats,florida-gators,stanford-cardinal,ucla-bruins,california-golden-bears,oklahoma-state-cowboys,usc-trojans,iowa-hawkeyes,michigan-wolverines,memphis-tigers,toledo-rockets
