Teams,Borda Points
texas-longhorns,1527
georgia-bulldogs,1482
ohio-state-buckeyes,1432
alabama-crimson-tide,1328
tennessee-volunteers,1283
ole-miss-rebels,1269
miami-fl-hurricanes,1139
oregon-ducks,1073
penn-state-nittany-lions,1051
utah-utes,1037
missouri-tigers,1010
michigan-wolverines,817
usc-trojans,705
lsu-tigers,652
louisville-cardinals,575
clemson-tigers,570
notre-dame-fighting-irish,562
illinois-fighting-illini,499
oklahoma-state-cowboys,430
oklahoma-sooners,415
byu-cougars,370
kansas-state-wildcats,204
texas-am-aggies,98
washington-state-cougars,89
indiana-hoosiers,87
boise-state-broncos,85
boston-college-eagles,70
unlv-rebels,66
pittsburgh-panthers,52
nebraska-cornhuskers,33
iowa-hawkeyes,32
james-madison-dukes,18
south-carolina-gamecocks,9
liberty-flames,5
ucf-knights,4
arkansas-razorbacks,4
arizona-wildcats,3
southern-methodist-mustangs,3
navy-midshipmen,2
