Teams,Borda Points
georgia-bulldogs,1541
michigan-wolverines,1457
texas-longhorns,1358
florida-state-seminoles,1355
usc-trojans,1275
ohio-state-buckeyes,1272
penn-state-nittany-lions,1199
washington-huskies,1174
notre-dame-fighting-irish,1049
oregon-ducks,928
utah-utes,906
lsu-tigers,794
alabama-crimson-tide,783
oregon-state-beavers,707
ole-miss-rebels,650
oklahoma-sooners,607
north-carolina-tar-heels,567
duke-blue-devils,530
colorado-buffaloes,514
miami-fl-hurricanes,372
ucla-bruins,232
tennessee-volunteers,207
iowa-hawkeyes,149
florida-gators,119
missouri-tigers,98
clemson-tigers,85
kansas-state-wildcats,51
fresno-state-bulldogs,25
tcu-horned-frogs,22
kansas-jayhawks,18
tulane-green-wave,18
kentucky-wildcats,11
byu-cougars,5
maryland-terrapins,5
wisconsin-badgers,3
syracuse-orange,3
louisville-cardinals,2
auburn-tigers,2
