Teams,Borda Points
georgia-bulldogs,1540
michigan-wolverines,1495
washington-huskies,1423
oregon-ducks,1331
ohio-state-buckeyes,1306
texas-longhorns,1266
alabama-crimson-tide,1187
missouri-tigers,1073
penn-state-nittany-lions,1023
ole-miss-rebels,998
oklahoma-sooners,919
lsu-tigers,871
arizona-wildcats,774
louisville-cardinals,751
notre-dame-fighting-irish,654
tulane-green-wave,618
iowa-hawkeyes,520
oklahoma-state-cowboys,467
liberty-flames,351
north-carolina-state-wolfpack,327
oregon-state-beavers,321
toledo-rockets,229
james-madison-dukes,159
southern-methodist-mustangs,138
tennessee-volunteers,121
clemson-tigers,82
kansas-state-wildcats,55
utah-utes,51
troy-trojans,10
new-mexico-state-aggies,9
kansas-jayhawks,8
kentucky-wildcats,5
memphis-tigers,2
miami-oh-redhawks,2
north-carolina-tar-heels,2
