Teams,Borda Points
georgia-bulldogs,1536
michigan-wolverines,1504
ohio-state-buckeyes,1454
florida-state-seminoles,1408
washington-huskies,1325
oklahoma-sooners,1267
texas-longhorns,1150
oregon-ducks,1135
alabama-crimson-tide,1071
penn-state-nittany-lions,1016
oregon-state-beavers,935
ole-miss-rebels,919
notre-dame-fighting-irish,775
lsu-tigers,745
missouri-tigers,656
north-carolina-tar-heels,568
louisville-cardinals,480
air-force-falcons,457
duke-blue-devils,430
tennessee-volunteers,363
tulane-green-wave,308
ucla-bruins,297
usc-trojans,243
james-madison-dukes,223
florida-gators,45
liberty-flames,25
kansas-state-wildcats,23
miami-fl-hurricanes,19
fresno-state-bulldogs,12
oklahoma-state-cowboys,8
toledo-rockets,5
kentucky-wildcats,3
rutgers-scarlet-knights,3
unlv-rebels,2
wisconsin-badgers,2
