Teams,Borda Points
georgia-bulldogs,1540
michigan-wolverines,1464
ohio-state-buckeyes,1433
florida-state-seminoles,1366
washington-huskies,1322
oregon-ducks,1218
texas-longhorns,1180
alabama-crimson-tide,1141
louisville-cardinals,1002
oregon-state-beavers,934
missouri-tigers,917
penn-state-nittany-lions,865
ole-miss-rebels,810
oklahoma-sooners,735
lsu-tigers,703
utah-utes,543
tulane-green-wave,418
james-madison-dukes,416
arizona-wildcats,390
notre-dame-fighting-irish,362
tennessee-volunteers,333
north-carolina-tar-heels,272
kansas-state-wildcats,241
oklahoma-state-cowboys,181
liberty-flames,142
iowa-hawkeyes,117
toledo-rockets,54
fresno-state-bulldogs,13
southern-methodist-mustangs,5
usc-trojans,5
unlv-rebels,4
north-carolina-state-wolfpack,2
miami-oh-redhawks,1
texas-am-aggies,1
