Teams,Borda Points
georgia-bulldogs,1536
michigan-wolverines,1504
ohio-state-buckeyes,1454
florida-state-seminoles,1408
washington-huskies,1325
oklahoma-sooners,1267
texas-longhorns,1150
oregon-ducks,1133
alabama-crimson-tide,1071
penn-state-nittany-lions,999
oregon-state-beavers,922
ole-miss-rebels,890
utah-utes,868
notre-dame-fighting-irish,719
lsu-tigers,689
missouri-tigers,596
north-carolina-tar-heels,516
louisville-cardinals,432
air-force-falcons,409
duke-blue-devils,389
tennessee-volunteers,325
tulane-green-wave,275
usc-trojans,218
james-madison-dukes,198
florida-gators,41
liberty-flames,21
kansas-state-wildcats,21
miami-fl-hurricanes,17
fresno-state-bulldogs,10
oklahoma-state-cowboys,7
toledo-rockets,3
kentucky-wildcats,3
rutgers-scarlet-knights,3
unlv-rebels,1
wisconsin-badgers,1
