Teams,Borda Points
alabama-crimson-tide,1525
ohio-state-buckeyes,1444
clemson-tigers,1396
washington-huskies,1329
penn-state-nittany-lions,1252
michigan-wolverines,1249
oklahoma-sooners,1173
wisconsin-badgers,1056
usc-trojans,1049
florida-state-seminoles,922
western-michigan-broncos,902
oklahoma-state-cowboys,846
west-virginia-mountaineers,828
louisville-cardinals,597
stanford-cardinal,565
auburn-tigers,550
virginia-tech-hokies,428
lsu-tigers,407
florida-gators,381
iowa-hawkeyes,321
temple-owls,283
pittsburgh-panthers,283
nebraska-cornhuskers,235
south-florida-bulls,216
houston-cougars,124
utah-utes,119
boise-state-broncos,117
washington-state-cougars,36
texas-am-aggies,31
air-force-falcons,25
navy-midshipmen,23
tennessee-volunteers,14
san-diego-state-aztecs,11
western-kentucky-hilltoppers,11
miami-fl-hurricanes,8
georgia-tech-yellow-jackets,5
kansas-state-wildcats,3
