Teams,Borda Points
alabama-crimson-tide,1511
ohio-state-buckeyes,1440
louisville-cardinals,1409
michigan-wolverines,1292
clemson-tigers,1267
houston-cougars,1239
stanford-cardinal,1166
wisconsin-badgers,1084
texas-am-aggies,1036
washington-huskies,986
tennessee-volunteers,909
florida-state-seminoles,806
baylor-bears,730
miami-fl-hurricanes,699
nebraska-cornhuskers,640
ole-miss-rebels,544
michigan-state-spartans,533
utah-utes,493
san-diego-state-aztecs,311
arkansas-razorbacks,251
tcu-horned-frogs,247
texas-longhorns,224
florida-gators,188
boise-state-broncos,174
georgia-bulldogs,147
oklahoma-sooners,124
north-dakota-state-bison,61
west-virginia-mountaineers,56
virginia-tech-hokies,42
colorado-buffaloes,35
iowa-hawkeyes,27
north-carolina-tar-heels,26
ucla-bruins,23
auburn-tigers,19
lsu-tigers,18
western-michigan-broncos,17
wake-forest-demon-deacons,12
memphis-tigers,7
maryland-terrapins,2
toledo-rockets,2
