Teams,Borda Points
alabama-crimson-tide,1520
florida-state-seminoles,1437
ohio-state-buckeyes,1360
michigan-wolverines,1300
clemson-tigers,1287
houston-cougars,1265
stanford-cardinal,1146
washington-huskies,1004
louisville-cardinals,920
texas-longhorns,905
michigan-state-spartans,784
iowa-hawkeyes,736
oklahoma-sooners,726
tennessee-volunteers,706
georgia-bulldogs,635
texas-am-aggies,620
notre-dame-fighting-irish,578
ole-miss-rebels,523
lsu-tigers,445
baylor-bears,348
oregon-ducks,346
florida-gators,242
arkansas-razorbacks,234
miami-fl-hurricanes,234
tcu-horned-frogs,82
utah-utes,73
san-diego-state-aztecs,69
ucla-bruins,57
boise-state-broncos,52
pittsburgh-panthers,50
oklahoma-state-cowboys,28
north-carolina-tar-heels,16
nebraska-cornhuskers,15
auburn-tigers,9
central-michigan-chippewas,5
colorado-buffaloes,3
arizona-state-sun-devils,2
cincinnati-bearcats,2
