Teams,Borda Points
alabama-crimson-tide,1525
ohio-state-buckeyes,1455
michigan-wolverines,1371
clemson-tigers,1349
wisconsin-badgers,1256
washington-huskies,1224
oklahoma-sooners,1172
penn-state-nittany-lions,1095
colorado-buffaloes,1011
oklahoma-state-cowboys,893
louisville-cardinals,860
florida-gators,741
western-michigan-broncos,737
florida-state-seminoles,706
auburn-tigers,660
nebraska-cornhuskers,640
houston-cougars,542
west-virginia-mountaineers,501
boise-state-broncos,439
utah-utes,325
texas-am-aggies,299
washington-state-cougars,229
tennessee-volunteers,166
stanford-cardinal,109
virginia-tech-hokies,106
lsu-tigers,101
navy-midshipmen,82
north-carolina-tar-heels,70
south-florida-bulls,31
pittsburgh-panthers,28
arkansas-razorbacks,12
minnesota-golden-gophers,9
iowa-hawkeyes,9
troy-trojans,8
wyoming-cowboys,2
temple-owls,2
