Teams,Borda Points
alabama-crimson-tide,1511
ohio-state-buckeyes,1440
louisville-cardinals,1409
michigan-wolverines,1292
clemson-tigers,1267
houston-cougars,1239
stanford-cardinal,1166
wisconsin-badgers,1084
texas-am-aggies,1038
washington-huskies,987
tennessee-volunteers,914
florida-state-seminoles,806
baylor-bears,746
miami-fl-hurricanes,710
nebraska-cornhuskers,661
michigan-state-spartans,559
utah-utes,525
san-diego-state-aztecs,340
arkansas-razorbacks,281
tcu-horned-frogs,271
texas-longhorns,244
florida-gators,213
boise-state-broncos,192
georgia-bulldogs,175
arizona-state-sun-devils,156
oklahoma-sooners,144
north-dakota-state-bison,76
west-virginia-mountaineers,57
virginia-tech-hokies,46
colorado-buffaloes,41
iowa-hawkeyes,31
north-carolina-tar-heels,29
ucla-bruins,28
auburn-tigers,23
lsu-tigers,23
western-michigan-broncos,19
wake-forest-demon-deacons,11
memphis-tigers,8
maryland-terrapins,3
toledo-rockets,2
