Season,Week,Removed-Teams,RT-Ranking,Original-Teams,Original-Rankings,New-Teams,New-Rankings
2014,15,"('oregon-ducks',)","(3,)","('alabama-crimson-tide',)","(1,)","('florida-state-seminoles',)","(2,)"
2019,10,"('ohio-state-buckeyes',)","(3,)","('lsu-tigers',)","(1,)","('alabama-crimson-tide',)","(2,)"
