Season,Week,Removed-Teams,RT-Ranking,Original-Teams,Original-Rankings,New-Teams,New-Rankings
2022,10,"('oregon-ducks',)","(8,)","('georgia-bulldogs', 'ohio-state-buckeyes', 'tennessee-volunteers', 'michigan-wolverines', 'clemson-tigers')","(1, 2, 3, 4, 5)","('georgia-bulldogs', 'tennessee-volunteers', 'ohio-state-buckeyes', 'michigan-wolverines', 'clemson-tigers')","(1, 3, 2, 4, 5)"
2022,10,"('lsu-tigers',)","(15,)","('georgia-bulldogs', 'ohio-state-buckeyes', 'tennessee-volunteers', 'michigan-wolverines', 'clemson-tigers')","(1, 2, 3, 4, 5)","('georgia-bulldogs', 'tennessee-volunteers', 'ohio-state-buckeyes', 'michigan-wolverines', 'clemson-tigers')","(1, 3, 2, 4, 5)"
2022,10,"('illinois-fighting-illini',)","(14,)","('georgia-bulldogs', 'ohio-state-buckeyes', 'tennessee-volunteers', 'michigan-wolverines', 'clemson-tigers')","(1, 2, 3, 4, 5)","('georgia-bulldogs', 'tennessee-volunteers', 'ohio-state-buckeyes', 'michigan-wolverines', 'clemson-tigers')","(1, 3, 2, 4, 5)"
2022,10,"('kansas-state-wildcats',)","(13,)","('georgia-bulldogs', 'ohio-state-buckeyes', 'tennessee-volunteers', 'michigan-wolverines', 'clemson-tigers')","(1, 2, 3, 4, 5)","('georgia-bulldogs', 'tennessee-volunteers', 'ohio-state-buckeyes', 'michigan-wolverines', 'clemson-tigers')","(1, 3, 2, 4, 5)"
2022,10,"('utah-utes',)","(12,)","('georgia-bulldogs', 'ohio-state-buckeyes', 'tennessee-volunteers', 'michigan-wolverines', 'clemson-tigers')","(1, 2, 3, 4, 5)","('georgia-bulldogs', 'tennessee-volunteers', 'ohio-state-buckeyes', 'michigan-wolverines', 'clemson-tigers')","(1, 3, 2, 4, 5)"
2022,10,"('ole-miss-rebels',)","(11,)","('georgia-bulldogs', 'ohio-state-buckeyes', 'tennessee-volunteers', 'michigan-wolverines', 'clemson-tigers')","(1, 2, 3, 4, 5)","('georgia-bulldogs', 'tennessee-volunteers', 'ohio-state-buckeyes', 'michigan-wolverines', 'clemson-tigers')","(1, 3, 2, 4, 5)"
2022,10,"('ucla-bruins',)","(10,)","('georgia-bulldogs', 'ohio-state-buckeyes', 'tennessee-volunteers', 'michigan-wolverines', 'clemson-tigers')","(1, 2, 3, 4, 5)","('georgia-bulldogs', 'tennessee-volunteers', 'ohio-state-buckeyes', 'michigan-wolverines', 'clemson-tigers')","(1, 3, 2, 4, 5)"
2022,10,"('usc-trojans',)","(9,)","('georgia-bulldogs', 'ohio-state-buckeyes', 'tennessee-volunteers', 'michigan-wolverines', 'clemson-tigers')","(1, 2, 3, 4, 5)","('georgia-bulldogs', 'tennessee-volunteers', 'ohio-state-buckeyes', 'michigan-wolverines', 'clemson-tigers')","(1, 3, 2, 4, 5)"
2022,10,"('tcu-horned-frogs',)","(7,)","('georgia-bulldogs', 'ohio-state-buckeyes', 'tennessee-volunteers', 'michigan-wolverines', 'clemson-tigers')","(1, 2, 3, 4, 5)","('georgia-bulldogs', 'tennessee-volunteers', 'ohio-state-buckeyes', 'michigan-wolverines', 'clemson-tigers')","(1, 3, 2, 4, 5)"
2022,10,"('alabama-crimson-tide',)","(6,)","('georgia-bulldogs', 'ohio-state-buckeyes', 'tennessee-volunteers', 'michigan-wolverines', 'clemson-tigers')","(1, 2, 3, 4, 5)","('georgia-bulldogs', 'tennessee-volunteers', 'ohio-state-buckeyes', 'michigan-wolverines', 'clemson-tigers')","(1, 3, 2, 4, 5)"
2019,7,"('oregon-ducks',)","(13,)","('alabama-crimson-tide', 'clemson-tigers', 'ohio-state-buckeyes', 'georgia-bulldogs', 'lsu-tigers')","(1, 2, 3, 4, 5)","('alabama-crimson-tide', 'clemson-tigers', 'georgia-bulldogs', 'ohio-state-buckeyes', 'lsu-tigers')","(1, 2, 4, 3, 5)"
2019,7,"('penn-state-nittany-lions',)","(10,)","('alabama-crimson-tide', 'clemson-tigers', 'ohio-state-buckeyes', 'georgia-bulldogs', 'lsu-tigers')","(1, 2, 3, 4, 5)","('alabama-crimson-tide', 'clemson-tigers', 'georgia-bulldogs', 'ohio-state-buckeyes', 'lsu-tigers')","(1, 2, 4, 3, 5)"
2019,7,"('texas-longhorns',)","(11,)","('alabama-crimson-tide', 'clemson-tigers', 'ohio-state-buckeyes', 'georgia-bulldogs', 'lsu-tigers')","(1, 2, 3, 4, 5)","('alabama-crimson-tide', 'clemson-tigers', 'georgia-bulldogs', 'ohio-state-buckeyes', 'lsu-tigers')","(1, 2, 4, 3, 5)"
2019,7,"('auburn-tigers',)","(12,)","('alabama-crimson-tide', 'clemson-tigers', 'ohio-state-buckeyes', 'georgia-bulldogs', 'lsu-tigers')","(1, 2, 3, 4, 5)","('alabama-crimson-tide', 'clemson-tigers', 'georgia-bulldogs', 'ohio-state-buckeyes', 'lsu-tigers')","(1, 2, 4, 3, 5)"
2014,7,"('michigan-state-spartans',)","(8,)","('florida-state-seminoles', 'auburn-tigers', 'mississippi-state-bulldogs', 'ole-miss-rebels', 'baylor-bears')","(1, 2, 3, 4, 5)","('florida-state-seminoles', 'auburn-tigers', 'ole-miss-rebels', 'mississippi-state-bulldogs', 'baylor-bears')","(1, 2, 4, 3, 5)"
2019,7,"('boise-state-broncos',)","(14,)","('alabama-crimson-tide', 'clemson-tigers', 'ohio-state-buckeyes', 'georgia-bulldogs', 'lsu-tigers')","(1, 2, 3, 4, 5)","('alabama-crimson-tide', 'clemson-tigers', 'georgia-bulldogs', 'ohio-state-buckeyes', 'lsu-tigers')","(1, 2, 4, 3, 5)"
2019,7,"('utah-utes',)","(15,)","('alabama-crimson-tide', 'clemson-tigers', 'ohio-state-buckeyes', 'georgia-bulldogs', 'lsu-tigers')","(1, 2, 3, 4, 5)","('alabama-crimson-tide', 'clemson-tigers', 'georgia-bulldogs', 'ohio-state-buckeyes', 'lsu-tigers')","(1, 2, 4, 3, 5)"
2014,7,"('tcu-horned-frogs',)","(9,)","('florida-state-seminoles', 'auburn-tigers', 'mississippi-state-bulldogs', 'ole-miss-rebels', 'baylor-bears')","(1, 2, 3, 4, 5)","('florida-state-seminoles', 'auburn-tigers', 'ole-miss-rebels', 'mississippi-state-bulldogs', 'baylor-bears')","(1, 2, 4, 3, 5)"
