Season,Week,Removed-Teams,RT-Ranking,Original-Teams,Original-Rankings,New-Teams,New-Rankings
2014,15,"('oregon-ducks', 'georgia-tech-yellow-jackets')","(3, 12)","('alabama-crimson-tide', 'florida-state-seminoles')","(1, 2)","('florida-state-seminoles', 'alabama-crimson-tide')","(2, 1)"
2014,15,"('oregon-ducks', 'mississippi-state-bulldogs')","(3, 10)","('alabama-crimson-tide', 'florida-state-seminoles')","(1, 2)","('florida-state-seminoles', 'alabama-crimson-tide')","(2, 1)"
2019,10,"('ohio-state-buckeyes', 'florida-gators')","(3, 6)","('lsu-tigers', 'alabama-crimson-tide')","(1, 2)","('alabama-crimson-tide', 'lsu-tigers')","(2, 1)"
2019,10,"('ohio-state-buckeyes', 'penn-state-nittany-lions')","(3, 5)","('lsu-tigers', 'alabama-crimson-tide')","(1, 2)","('alabama-crimson-tide', 'lsu-tigers')","(2, 1)"
2019,10,"('ohio-state-buckeyes', 'clemson-tigers')","(3, 4)","('lsu-tigers', 'alabama-crimson-tide')","(1, 2)","('alabama-crimson-tide', 'lsu-tigers')","(2, 1)"
2019,10,"('ohio-state-buckeyes', 'utah-utes')","(3, 9)","('lsu-tigers', 'alabama-crimson-tide')","(1, 2)","('alabama-crimson-tide', 'lsu-tigers')","(2, 1)"
2019,10,"('ohio-state-buckeyes', 'oklahoma-sooners')","(3, 10)","('lsu-tigers', 'alabama-crimson-tide')","(1, 2)","('alabama-crimson-tide', 'lsu-tigers')","(2, 1)"
2019,10,"('ohio-state-buckeyes', 'auburn-tigers')","(3, 11)","('lsu-tigers', 'alabama-crimson-tide')","(1, 2)","('alabama-crimson-tide', 'lsu-tigers')","(2, 1)"
2019,10,"('ohio-state-buckeyes', 'baylor-bears')","(3, 12)","('lsu-tigers', 'alabama-crimson-tide')","(1, 2)","('alabama-crimson-tide', 'lsu-tigers')","(2, 1)"
2019,11,"('ohio-state-buckeyes', 'penn-state-nittany-lions')","(3, 5)","('lsu-tigers', 'alabama-crimson-tide')","(1, 2)","('alabama-crimson-tide', 'lsu-tigers')","(2, 1)"
2019,10,"('ohio-state-buckeyes', 'georgia-bulldogs')","(3, 8)","('lsu-tigers', 'alabama-crimson-tide')","(1, 2)","('alabama-crimson-tide', 'lsu-tigers')","(2, 1)"
2014,15,"('oregon-ducks', 'wisconsin-badgers')","(3, 11)","('alabama-crimson-tide', 'florida-state-seminoles')","(1, 2)","('florida-state-seminoles', 'alabama-crimson-tide')","(2, 1)"
2019,10,"('ohio-state-buckeyes', 'oregon-ducks')","(3, 7)","('lsu-tigers', 'alabama-crimson-tide')","(1, 2)","('alabama-crimson-tide', 'lsu-tigers')","(2, 1)"
2014,15,"('oregon-ducks', 'kansas-state-wildcats')","(3, 9)","('alabama-crimson-tide', 'florida-state-seminoles')","(1, 2)","('florida-state-seminoles', 'alabama-crimson-tide')","(2, 1)"
2014,15,"('oregon-ducks', 'arizona-wildcats')","(3, 8)","('alabama-crimson-tide', 'florida-state-seminoles')","(1, 2)","('florida-state-seminoles', 'alabama-crimson-tide')","(2, 1)"
2022,6,"('ohio-state-buckeyes', 'clemson-tigers')","(3, 5)","('alabama-crimson-tide', 'georgia-bulldogs')","(1, 2)","('georgia-bulldogs', 'alabama-crimson-tide')","(2, 1)"
2014,15,"('oregon-ducks', 'tcu-horned-frogs')","(3, 4)","('alabama-crimson-tide', 'florida-state-seminoles')","(1, 2)","('florida-state-seminoles', 'alabama-crimson-tide')","(2, 1)"
2014,15,"('oregon-ducks', 'baylor-bears')","(3, 5)","('alabama-crimson-tide', 'florida-state-seminoles')","(1, 2)","('florida-state-seminoles', 'alabama-crimson-tide')","(2, 1)"
2014,15,"('oregon-ducks', 'ohio-state-buckeyes')","(3, 6)","('alabama-crimson-tide', 'florida-state-seminoles')","(1, 2)","('florida-state-seminoles', 'alabama-crimson-tide')","(2, 1)"
2014,15,"('oregon-ducks', 'michigan-state-spartans')","(3, 7)","('alabama-crimson-tide', 'florida-state-seminoles')","(1, 2)","('florida-state-seminoles', 'alabama-crimson-tide')","(2, 1)"
2022,10,"('alabama-crimson-tide', 'ole-miss-rebels')","(6, 11)","('georgia-bulldogs', 'ohio-state-buckeyes')","(1, 2)","('georgia-bulldogs', 'tennessee-volunteers')","(1, 3)"
2022,10,"('alabama-crimson-tide', 'utah-utes')","(6, 12)","('georgia-bulldogs', 'ohio-state-buckeyes')","(1, 2)","('georgia-bulldogs', 'tennessee-volunteers')","(1, 3)"
2022,10,"('alabama-crimson-tide', 'ucla-bruins')","(6, 10)","('georgia-bulldogs', 'ohio-state-buckeyes')","(1, 2)","('georgia-bulldogs', 'tennessee-volunteers')","(1, 3)"
2022,10,"('alabama-crimson-tide', 'usc-trojans')","(6, 9)","('georgia-bulldogs', 'ohio-state-buckeyes')","(1, 2)","('georgia-bulldogs', 'tennessee-volunteers')","(1, 3)"
2022,10,"('alabama-crimson-tide', 'oregon-ducks')","(6, 8)","('georgia-bulldogs', 'ohio-state-buckeyes')","(1, 2)","('georgia-bulldogs', 'tennessee-volunteers')","(1, 3)"
2022,10,"('alabama-crimson-tide', 'tcu-horned-frogs')","(6, 7)","('georgia-bulldogs', 'ohio-state-buckeyes')","(1, 2)","('georgia-bulldogs', 'tennessee-volunteers')","(1, 3)"
2022,10,"('michigan-wolverines', 'utah-utes')","(4, 12)","('georgia-bulldogs', 'ohio-state-buckeyes')","(1, 2)","('georgia-bulldogs', 'tennessee-volunteers')","(1, 3)"
2022,10,"('michigan-wolverines', 'ole-miss-rebels')","(4, 11)","('georgia-bulldogs', 'ohio-state-buckeyes')","(1, 2)","('georgia-bulldogs', 'tennessee-volunteers')","(1, 3)"
2022,10,"('michigan-wolverines', 'ucla-bruins')","(4, 10)","('georgia-bulldogs', 'ohio-state-buckeyes')","(1, 2)","('georgia-bulldogs', 'tennessee-volunteers')","(1, 3)"
2014,2,"('oklahoma-sooners', 'michigan-state-spartans')","(4, 7)","('florida-state-seminoles', 'alabama-crimson-tide')","(1, 2)","('florida-state-seminoles', 'oregon-ducks')","(1, 3)"
2022,10,"('tcu-horned-frogs', 'ucla-bruins')","(7, 10)","('georgia-bulldogs', 'ohio-state-buckeyes')","(1, 2)","('georgia-bulldogs', 'tennessee-volunteers')","(1, 3)"
2022,10,"('tcu-horned-frogs', 'oregon-ducks')","(7, 8)","('georgia-bulldogs', 'ohio-state-buckeyes')","(1, 2)","('georgia-bulldogs', 'tennessee-volunteers')","(1, 3)"
2022,10,"('tcu-horned-frogs', 'usc-trojans')","(7, 9)","('georgia-bulldogs', 'ohio-state-buckeyes')","(1, 2)","('georgia-bulldogs', 'tennessee-volunteers')","(1, 3)"
2022,10,"('michigan-wolverines', 'oregon-ducks')","(4, 8)","('georgia-bulldogs', 'ohio-state-buckeyes')","(1, 2)","('georgia-bulldogs', 'tennessee-volunteers')","(1, 3)"
2022,10,"('tcu-horned-frogs', 'ole-miss-rebels')","(7, 11)","('georgia-bulldogs', 'ohio-state-buckeyes')","(1, 2)","('georgia-bulldogs', 'tennessee-volunteers')","(1, 3)"
2022,10,"('tcu-horned-frogs', 'utah-utes')","(7, 12)","('georgia-bulldogs', 'ohio-state-buckeyes')","(1, 2)","('georgia-bulldogs', 'tennessee-volunteers')","(1, 3)"
2022,10,"('oregon-ducks', 'usc-trojans')","(8, 9)","('georgia-bulldogs', 'ohio-state-buckeyes')","(1, 2)","('georgia-bulldogs', 'tennessee-volunteers')","(1, 3)"
2022,10,"('oregon-ducks', 'ucla-bruins')","(8, 10)","('georgia-bulldogs', 'ohio-state-buckeyes')","(1, 2)","('georgia-bulldogs', 'tennessee-volunteers')","(1, 3)"
2022,10,"('oregon-ducks', 'ole-miss-rebels')","(8, 11)","('georgia-bulldogs', 'ohio-state-buckeyes')","(1, 2)","('georgia-bulldogs', 'tennessee-volunteers')","(1, 3)"
2022,10,"('oregon-ducks', 'utah-utes')","(8, 12)","('georgia-bulldogs', 'ohio-state-buckeyes')","(1, 2)","('georgia-bulldogs', 'tennessee-volunteers')","(1, 3)"
2022,10,"('usc-trojans', 'ucla-bruins')","(9, 10)","('georgia-bulldogs', 'ohio-state-buckeyes')","(1, 2)","('georgia-bulldogs', 'tennessee-volunteers')","(1, 3)"
2022,10,"('usc-trojans', 'ole-miss-rebels')","(9, 11)","('georgia-bulldogs', 'ohio-state-buckeyes')","(1, 2)","('georgia-bulldogs', 'tennessee-volunteers')","(1, 3)"
2022,10,"('usc-trojans', 'utah-utes')","(9, 12)","('georgia-bulldogs', 'ohio-state-buckeyes')","(1, 2)","('georgia-bulldogs', 'tennessee-volunteers')","(1, 3)"
2022,10,"('ucla-bruins', 'ole-miss-rebels')","(10, 11)","('georgia-bulldogs', 'ohio-state-buckeyes')","(1, 2)","('georgia-bulldogs', 'tennessee-volunteers')","(1, 3)"
2022,10,"('ucla-bruins', 'utah-utes')","(10, 12)","('georgia-bulldogs', 'ohio-state-buckeyes')","(1, 2)","('georgia-bulldogs', 'tennessee-volunteers')","(1, 3)"
2022,10,"('ole-miss-rebels', 'utah-utes')","(11, 12)","('georgia-bulldogs', 'ohio-state-buckeyes')","(1, 2)","('georgia-bulldogs', 'tennessee-volunteers')","(1, 3)"
2022,10,"('michigan-wolverines', 'usc-trojans')","(4, 9)","('georgia-bulldogs', 'ohio-state-buckeyes')","(1, 2)","('georgia-bulldogs', 'tennessee-volunteers')","(1, 3)"
2021,11,"('oklahoma-sooners', 'ohio-state-buckeyes')","(4, 6)","('georgia-bulldogs', 'cincinnati-bearcats')","(1, 2)","('georgia-bulldogs', 'alabama-crimson-tide')","(1, 3)"
2022,10,"('michigan-wolverines', 'tcu-horned-frogs')","(4, 7)","('georgia-bulldogs', 'ohio-state-buckeyes')","(1, 2)","('georgia-bulldogs', 'tennessee-volunteers')","(1, 3)"
2022,10,"('michigan-wolverines', 'alabama-crimson-tide')","(4, 6)","('georgia-bulldogs', 'ohio-state-buckeyes')","(1, 2)","('georgia-bulldogs', 'tennessee-volunteers')","(1, 3)"
2014,2,"('oklahoma-sooners', 'texas-am-aggies')","(4, 9)","('florida-state-seminoles', 'alabama-crimson-tide')","(1, 2)","('florida-state-seminoles', 'oregon-ducks')","(1, 3)"
2014,2,"('oklahoma-sooners', 'lsu-tigers')","(4, 12)","('florida-state-seminoles', 'alabama-crimson-tide')","(1, 2)","('florida-state-seminoles', 'oregon-ducks')","(1, 3)"
2014,2,"('michigan-state-spartans', 'ohio-state-buckeyes')","(7, 8)","('florida-state-seminoles', 'alabama-crimson-tide')","(1, 2)","('florida-state-seminoles', 'oregon-ducks')","(1, 3)"
2014,2,"('ohio-state-buckeyes', 'texas-am-aggies')","(8, 9)","('florida-state-seminoles', 'alabama-crimson-tide')","(1, 2)","('florida-state-seminoles', 'oregon-ducks')","(1, 3)"
2014,2,"('ohio-state-buckeyes', 'lsu-tigers')","(8, 12)","('florida-state-seminoles', 'alabama-crimson-tide')","(1, 2)","('florida-state-seminoles', 'oregon-ducks')","(1, 3)"
2015,6,"('michigan-state-spartans', 'texas-am-aggies')","(4, 9)","('ohio-state-buckeyes', 'tcu-horned-frogs')","(1, 2)","('ohio-state-buckeyes', 'baylor-bears')","(1, 3)"
