Teams,Borda Points
alabama-crimson-tide,1475
clemson-tigers,1409
notre-dame-fighting-irish,1351
lsu-tigers,1295
michigan-wolverines,1220
georgia-bulldogs,1181
oklahoma-sooners,1115
ohio-state-buckeyes,1004
ucf-knights,1000
washington-state-cougars,919
kentucky-wildcats,889
west-virginia-mountaineers,876
penn-state-nittany-lions,721
florida-gators,721
texas-longhorns,708
utah-utes,586
houston-cougars,406
utah-state-aggies,345
iowa-hawkeyes,330
fresno-state-bulldogs,265
mississippi-state-bulldogs,207
syracuse-orange,192
boston-college-eagles,174
virginia-cavaliers,169
texas-am-aggies,138
northwestern-wildcats,89
georgia-southern-eagles,62
michigan-state-spartans,52
cincinnati-bearcats,48
iowa-state-cyclones,45
south-florida-bulls,31
oklahoma-state-cowboys,26
stanford-cardinal,21
uab-blazers,19
wisconsin-badgers,17
oregon-ducks,12
san-diego-state-aztecs,8
auburn-tigers,7
north-carolina-state-wolfpack,7
army-west-point-black-knights,6
california-golden-bears,3
buffalo-bulls,1
