Teams,Borda Points
alabama-crimson-tide,1498
georgia-bulldogs,1427
clemson-tigers,1366
notre-dame-fighting-irish,1349
west-virginia-mountaineers,1213
washington-huskies,1146
penn-state-nittany-lions,1139
texas-longhorns,997
ucf-knights,969
oklahoma-sooners,928
michigan-wolverines,919
lsu-tigers,840
florida-gators,762
wisconsin-badgers,760
miami-fl-hurricanes,644
oregon-ducks,559
kentucky-wildcats,533
colorado-buffaloes,464
north-carolina-state-wolfpack,385
auburn-tigers,385
texas-am-aggies,308
south-florida-bulls,179
mississippi-state-bulldogs,172
cincinnati-bearcats,152
iowa-hawkeyes,115
stanford-cardinal,72
washington-state-cougars,59
san-diego-state-aztecs,37
tcu-horned-frogs,27
appalachian-state-mountaineers,15
utah-state-aggies,13
utah-utes,3
south-carolina-gamecocks,3
hawaii-warriors,2
