Teams,Borda Points
alabama-crimson-tide,1523
georgia-bulldogs,1422
clemson-tigers,1409
ohio-state-buckeyes,1363
lsu-tigers,1238
oklahoma-sooners,1201
stanford-cardinal,1143
notre-dame-fighting-irish,1067
penn-state-nittany-lions,1001
auburn-tigers,987
washington-huskies,946
west-virginia-mountaineers,923
ucf-knights,728
michigan-wolverines,698
wisconsin-badgers,662
miami-fl-hurricanes,572
kentucky-wildcats,542
texas-longhorns,310
oregon-ducks,298
byu-cougars,272
michigan-state-spartans,259
duke-blue-devils,244
mississippi-state-bulldogs,244
california-golden-bears,119
texas-tech-red-raiders,107
colorado-buffaloes,83
boise-state-broncos,58
virginia-tech-hokies,56
south-florida-bulls,50
oklahoma-state-cowboys,44
texas-am-aggies,42
south-carolina-gamecocks,32
north-carolina-state-wolfpack,29
florida-gators,29
tcu-horned-frogs,26
syracuse-orange,26
utah-utes,10
north-texas-mean-green,10
cincinnati-bearcats,10
missouri-tigers,8
ole-miss-rebels,7
buffalo-bulls,6
maryland-terrapins,6
san-diego-state-aztecs,5
arizona-state-sun-devils,4
