Season,Week,Combo,ab,ab-a,ab-b,bc,bc-b,bc-c,ca,ca-c,ca-a
2019,9,"auburn-tigers, georgia-bulldogs, notre-dame-fighting-irish","(auburn-tigers, georgia-bulldogs)",34,28,"(georgia-bulldogs, notre-dame-fighting-irish)",39,23,"(notre-dame-fighting-irish, auburn-tigers)",36,26
2019,10,"alabama-crimson-tide, lsu-tigers, ohio-state-buckeyes","(alabama-crimson-tide, lsu-tigers)",32,30,"(lsu-tigers, ohio-state-buckeyes)",36,26,"(ohio-state-buckeyes, alabama-crimson-tide)",32,30
2019,12,"appalachian-state-mountaineers, kansas-state-wildcats, oklahoma-state-cowboys","(appalachian-state-mountaineers, kansas-state-wildcats)",21,24,"(kansas-state-wildcats, oklahoma-state-cowboys)",16,22,"(oklahoma-state-cowboys, appalachian-state-mountaineers)",21,22
2019,15,"alabama-crimson-tide, auburn-tigers, wisconsin-badgers","(alabama-crimson-tide, auburn-tigers)",29,33,"(auburn-tigers, wisconsin-badgers)",26,36,"(wisconsin-badgers, alabama-crimson-tide)",24,38
2020,4,"mississippi-state-bulldogs, oklahoma-state-cowboys, wisconsin-badgers","(mississippi-state-bulldogs, oklahoma-state-cowboys)",29,33,"(oklahoma-state-cowboys, wisconsin-badgers)",28,33,"(wisconsin-badgers, mississippi-state-bulldogs)",28,33
2020,4,"north-carolina-tar-heels, oregon-ducks, ucf-knights","(north-carolina-tar-heels, oregon-ducks)",30,32,"(oregon-ducks, ucf-knights)",29,33,"(ucf-knights, north-carolina-tar-heels)",29,33
2020,4,"oregon-ducks, texas-am-aggies, ucf-knights","(oregon-ducks, texas-am-aggies)",32,30,"(texas-am-aggies, ucf-knights)",33,29,"(ucf-knights, oregon-ducks)",33,29
2020,5,"kansas-state-wildcats, minnesota-golden-gophers, tcu-horned-frogs","(kansas-state-wildcats, minnesota-golden-gophers)",20,22,"(minnesota-golden-gophers, tcu-horned-frogs)",21,24,"(tcu-horned-frogs, kansas-state-wildcats)",17,22
2020,5,"michigan-wolverines, southern-methodist-mustangs, texas-am-aggies","(michigan-wolverines, southern-methodist-mustangs)",35,26,"(southern-methodist-mustangs, texas-am-aggies)",35,26,"(texas-am-aggies, michigan-wolverines)",31,27
2020,5,"minnesota-golden-gophers, tcu-horned-frogs, ucf-knights","(minnesota-golden-gophers, tcu-horned-frogs)",21,24,"(tcu-horned-frogs, ucf-knights)",22,23,"(ucf-knights, minnesota-golden-gophers)",19,22
2020,9,"army-west-point-black-knights, north-carolina-tar-heels, tulsa-golden-hurricane","(army-west-point-black-knights, north-carolina-tar-heels)",18,17,"(north-carolina-tar-heels, tulsa-golden-hurricane)",18,13,"(tulsa-golden-hurricane, army-west-point-black-knights)",16,15
