Season,Week,Official Borda,Borda-Top1,Borda-Top3,Borda-Top5,Borda-Top10,Dowdall
2022,11,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs
2022,12,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs
2022,13,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs
2022,14,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs
2022,15,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs
2022,16,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs
2023,1,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs
2023,2,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs
2023,3,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs
2023,4,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs
2023,5,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs
2023,6,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs
2023,7,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs
2023,8,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs
2023,9,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs
2023,10,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs
2023,11,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs
2023,12,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs
2023,13,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs
2023,14,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs
2023,15,michigan-wolverines,michigan-wolverines,michigan-wolverines,michigan-wolverines,michigan-wolverines,michigan-wolverines
2023,16,michigan-wolverines,michigan-wolverines,michigan-wolverines,michigan-wolverines,michigan-wolverines,michigan-wolverines
2024,1,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs
2024,2,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs
2024,3,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs,georgia-bulldogs
2024,4,texas-longhorns,texas-longhorns,texas-longhorns,texas-longhorns,texas-longhorns,texas-longhorns
2024,5,texas-longhorns,texas-longhorns,texas-longhorns,texas-longhorns,texas-longhorns,texas-longhorns
