Player,Borda Points
Altuve,297
Judge,271
Ramirez,233
Trout,197
Lindor,143
Betts,110
Kluber,101
Simmons,60
Sale,56
Cruz,44
Dozier,25
Schoop,19
Springer,17
Abreu,16
Hosmer,16
Upton,12
Correa,9
Buxton,7
Gonzalez,6
Gregorius,4
Encarnacion,4
Sanchez,1
DavisC,1
Donaldson,1
