Player,Borda Points
Posey,314
Braun,273
McCutchen,245
Molina,233
Headley,127
LaRoche,86
Wright,86
Kimbrel,73
Ramirez,49
Bruce,46
Holliday,34
Chapman,18
Phillips,18
Dickey,16
Votto,16
Kershaw,15
Desmond,15
Bourn,12
Craig,10
Medlen,8
Soriano,8
Gonzalez,8
Prado,8
Stanton,7
Zimmerman,7
Hill,6
Beltran,6
Ruiz,4
Heyward,4
Harper,2
Cueto,2
Pence,1
Montero,1
Pagan,1
Jones,1
