Pollster,Season,Week,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th,21st,22nd,23rd,24th,25th
adam-jude,2014,9,mississippi-state-bulldogs,florida-state-seminoles,ole-miss-rebels,auburn-tigers,oregon-ducks,notre-dame-fighting-irish,alabama-crimson-tide,michigan-state-spartans,baylor-bears,tcu-horned-frogs,georgia-bulldogs,arizona-wildcats,arizona-state-sun-devils,ohio-state-buckeyes,kansas-state-wildcats,oklahoma-sooners,nebraska-cornhuskers,utah-utes,west-virginia-mountaineers,east-carolina-pirates,clemson-tigers,marshall-thundering-herd,usc-trojans,oklahoma-state-cowboys,ucla-bruins
adam-sparks,2014,9,mississippi-state-bulldogs,florida-state-seminoles,ole-miss-rebels,alabama-crimson-tide,oregon-ducks,auburn-tigers,notre-dame-fighting-irish,baylor-bears,georgia-bulldogs,tcu-horned-frogs,michigan-state-spartans,arizona-wildcats,kansas-state-wildcats,nebraska-cornhuskers,ohio-state-buckeyes,east-carolina-pirates,marshall-thundering-herd,duke-blue-devils,ucla-bruins,arizona-state-sun-devils,usc-trojans,oklahoma-sooners,lsu-tigers,west-virginia-mountaineers,utah-utes
adam-zucker,2014,9,mississippi-state-bulldogs,ole-miss-rebels,florida-state-seminoles,alabama-crimson-tide,auburn-tigers,oregon-ducks,notre-dame-fighting-irish,michigan-state-spartans,georgia-bulldogs,baylor-bears,tcu-horned-frogs,ohio-state-buckeyes,kansas-state-wildcats,arizona-state-sun-devils,arizona-wildcats,utah-utes,nebraska-cornhuskers,east-carolina-pirates,lsu-tigers,usc-trojans,oklahoma-sooners,clemson-tigers,duke-blue-devils,minnesota-golden-gophers,west-virginia-mountaineers
bill-rabinowitz,2014,9,mississippi-state-bulldogs,ole-miss-rebels,florida-state-seminoles,auburn-tigers,oregon-ducks,notre-dame-fighting-irish,alabama-crimson-tide,michigan-state-spartans,georgia-bulldogs,tcu-horned-frogs,ohio-state-buckeyes,kansas-state-wildcats,baylor-bears,nebraska-cornhuskers,arizona-wildcats,arizona-state-sun-devils,east-carolina-pirates,clemson-tigers,lsu-tigers,oklahoma-sooners,west-virginia-mountaineers,marshall-thundering-herd,usc-trojans,utah-utes,north-dakota-state-bison
bob-asmussen,2014,9,florida-state-seminoles,mississippi-state-bulldogs,ole-miss-rebels,oregon-ducks,michigan-state-spartans,alabama-crimson-tide,georgia-bulldogs,auburn-tigers,notre-dame-fighting-irish,ohio-state-buckeyes,baylor-bears,arizona-wildcats,nebraska-cornhuskers,arizona-state-sun-devils,kansas-state-wildcats,tcu-horned-frogs,usc-trojans,oklahoma-sooners,marshall-thundering-herd,west-virginia-mountaineers,east-carolina-pirates,lsu-tigers,utah-utes,duke-blue-devils,minnesota-golden-gophers
brent-axe,2014,9,mississippi-state-bulldogs,florida-state-seminoles,ole-miss-rebels,alabama-crimson-tide,auburn-tigers,notre-dame-fighting-irish,georgia-bulldogs,oregon-ducks,michigan-state-spartans,baylor-bears,tcu-horned-frogs,kansas-state-wildcats,ohio-state-buckeyes,nebraska-cornhuskers,arizona-state-sun-devils,arizona-wildcats,utah-utes,east-carolina-pirates,duke-blue-devils,usc-trojans,oklahoma-sooners,oklahoma-state-cowboys,west-virginia-mountaineers,clemson-tigers,marshall-thundering-herd
brett-mcmurphy,2014,9,mississippi-state-bulldogs,florida-state-seminoles,ole-miss-rebels,oregon-ducks,auburn-tigers,notre-dame-fighting-irish,tcu-horned-frogs,alabama-crimson-tide,michigan-state-spartans,kansas-state-wildcats,georgia-bulldogs,arizona-wildcats,ohio-state-buckeyes,baylor-bears,nebraska-cornhuskers,utah-utes,arizona-state-sun-devils,east-carolina-pirates,west-virginia-mountaineers,usc-trojans,clemson-tigers,oklahoma-sooners,marshall-thundering-herd,minnesota-golden-gophers,colorado-state-rams
chadd-cripe,2014,9,ole-miss-rebels,florida-state-seminoles,mississippi-state-bulldogs,auburn-tigers,alabama-crimson-tide,oregon-ducks,notre-dame-fighting-irish,tcu-horned-frogs,michigan-state-spartans,georgia-bulldogs,baylor-bears,kansas-state-wildcats,nebraska-cornhuskers,utah-utes,ohio-state-buckeyes,ucla-bruins,arizona-state-sun-devils,usc-trojans,arizona-wildcats,oklahoma-sooners,west-virginia-mountaineers,clemson-tigers,lsu-tigers,east-carolina-pirates,duke-blue-devils
charles-davis,2014,9,mississippi-state-bulldogs,florida-state-seminoles,ole-miss-rebels,alabama-crimson-tide,notre-dame-fighting-irish,auburn-tigers,oregon-ducks,tcu-horned-frogs,michigan-state-spartans,kansas-state-wildcats,georgia-bulldogs,arizona-state-sun-devils,utah-utes,baylor-bears,ohio-state-buckeyes,east-carolina-pirates,arizona-wildcats,nebraska-cornhuskers,usc-trojans,oklahoma-sooners,west-virginia-mountaineers,duke-blue-devils,clemson-tigers,ucla-bruins,marshall-thundering-herd
chris-murray,2014,9,mississippi-state-bulldogs,florida-state-seminoles,ole-miss-rebels,auburn-tigers,alabama-crimson-tide,oregon-ducks,notre-dame-fighting-irish,tcu-horned-frogs,michigan-state-spartans,georgia-bulldogs,baylor-bears,kansas-state-wildcats,arizona-wildcats,utah-utes,arizona-state-sun-devils,ohio-state-buckeyes,usc-trojans,oklahoma-sooners,nebraska-cornhuskers,west-virginia-mountaineers,marshall-thundering-herd,east-carolina-pirates,ucla-bruins,clemson-tigers,duke-blue-devils
chuck-mcgill,2014,9,mississippi-state-bulldogs,florida-state-seminoles,ole-miss-rebels,alabama-crimson-tide,tcu-horned-frogs,auburn-tigers,michigan-state-spartans,oregon-ducks,ohio-state-buckeyes,kansas-state-wildcats,notre-dame-fighting-irish,georgia-bulldogs,oklahoma-sooners,west-virginia-mountaineers,baylor-bears,nebraska-cornhuskers,clemson-tigers,marshall-thundering-herd,arizona-wildcats,arizona-state-sun-devils,utah-utes,usc-trojans,duke-blue-devils,lsu-tigers,east-carolina-pirates
daniel-berk,2014,9,florida-state-seminoles,mississippi-state-bulldogs,ole-miss-rebels,alabama-crimson-tide,tcu-horned-frogs,oregon-ducks,georgia-bulldogs,notre-dame-fighting-irish,auburn-tigers,kansas-state-wildcats,baylor-bears,arizona-wildcats,michigan-state-spartans,ohio-state-buckeyes,arizona-state-sun-devils,nebraska-cornhuskers,utah-utes,east-carolina-pirates,oklahoma-sooners,usc-trojans,clemson-tigers,lsu-tigers,west-virginia-mountaineers,marshall-thundering-herd,duke-blue-devils
donald-heath,2014,9,florida-state-seminoles,mississippi-state-bulldogs,ole-miss-rebels,auburn-tigers,notre-dame-fighting-irish,tcu-horned-frogs,alabama-crimson-tide,arizona-wildcats,oregon-ducks,michigan-state-spartans,georgia-bulldogs,baylor-bears,kansas-state-wildcats,ohio-state-buckeyes,arizona-state-sun-devils,oklahoma-sooners,nebraska-cornhuskers,marshall-thundering-herd,usc-trojans,clemson-tigers,utah-utes,oklahoma-state-cowboys,west-virginia-mountaineers,east-carolina-pirates,minnesota-golden-gophers
doug-doughty,2014,9,florida-state-seminoles,mississippi-state-bulldogs,ole-miss-rebels,oregon-ducks,notre-dame-fighting-irish,auburn-tigers,alabama-crimson-tide,michigan-state-spartans,kansas-state-wildcats,georgia-bulldogs,nebraska-cornhuskers,tcu-horned-frogs,arizona-state-sun-devils,baylor-bears,arizona-wildcats,ohio-state-buckeyes,utah-utes,east-carolina-pirates,minnesota-golden-gophers,lsu-tigers,oklahoma-sooners,marshall-thundering-herd,west-virginia-mountaineers,clemson-tigers,usc-trojans
doug-lesmerises,2014,9,mississippi-state-bulldogs,florida-state-seminoles,ole-miss-rebels,notre-dame-fighting-irish,arizona-wildcats,oregon-ducks,auburn-tigers,baylor-bears,tcu-horned-frogs,alabama-crimson-tide,michigan-state-spartans,kansas-state-wildcats,ohio-state-buckeyes,arizona-state-sun-devils,georgia-bulldogs,nebraska-cornhuskers,marshall-thundering-herd,usc-trojans,minnesota-golden-gophers,utah-utes,east-carolina-pirates,oklahoma-sooners,west-virginia-mountaineers,duke-blue-devils,clemson-tigers
drew-sharp,2014,9,florida-state-seminoles,mississippi-state-bulldogs,ole-miss-rebels,alabama-crimson-tide,auburn-tigers,georgia-bulldogs,oregon-ducks,kansas-state-wildcats,notre-dame-fighting-irish,tcu-horned-frogs,arizona-wildcats,michigan-state-spartans,oklahoma-sooners,baylor-bears,usc-trojans,arizona-state-sun-devils,lsu-tigers,oklahoma-state-cowboys,utah-utes,marshall-thundering-herd,ucla-bruins,ohio-state-buckeyes,west-virginia-mountaineers,stanford-cardinal,texas-am-aggies
ed-johnson,2014,9,mississippi-state-bulldogs,ole-miss-rebels,florida-state-seminoles,auburn-tigers,alabama-crimson-tide,kansas-state-wildcats,notre-dame-fighting-irish,baylor-bears,tcu-horned-frogs,oregon-ducks,michigan-state-spartans,georgia-bulldogs,oklahoma-sooners,oklahoma-state-cowboys,clemson-tigers,nebraska-cornhuskers,arizona-wildcats,marshall-thundering-herd,ohio-state-buckeyes,utah-utes,arizona-state-sun-devils,west-virginia-mountaineers,east-carolina-pirates,lsu-tigers,ucla-bruins
eric-avidon,2014,9,mississippi-state-bulldogs,ole-miss-rebels,florida-state-seminoles,auburn-tigers,oregon-ducks,alabama-crimson-tide,notre-dame-fighting-irish,michigan-state-spartans,kansas-state-wildcats,georgia-bulldogs,baylor-bears,tcu-horned-frogs,arizona-state-sun-devils,ohio-state-buckeyes,arizona-wildcats,nebraska-cornhuskers,oklahoma-sooners,west-virginia-mountaineers,clemson-tigers,lsu-tigers,utah-utes,east-carolina-pirates,usc-trojans,duke-blue-devils,ucla-bruins
eric-hansen,2014,9,ole-miss-rebels,mississippi-state-bulldogs,florida-state-seminoles,auburn-tigers,alabama-crimson-tide,notre-dame-fighting-irish,tcu-horned-frogs,georgia-bulldogs,oregon-ducks,kansas-state-wildcats,baylor-bears,michigan-state-spartans,arizona-wildcats,arizona-state-sun-devils,ohio-state-buckeyes,oklahoma-sooners,utah-utes,east-carolina-pirates,clemson-tigers,lsu-tigers,usc-trojans,west-virginia-mountaineers,nebraska-cornhuskers,ucla-bruins,louisville-cardinals
ferd-lewis,2014,9,mississippi-state-bulldogs,florida-state-seminoles,ole-miss-rebels,auburn-tigers,alabama-crimson-tide,oregon-ducks,michigan-state-spartans,georgia-bulldogs,tcu-horned-frogs,notre-dame-fighting-irish,baylor-bears,ohio-state-buckeyes,kansas-state-wildcats,arizona-wildcats,arizona-state-sun-devils,nebraska-cornhuskers,east-carolina-pirates,utah-utes,usc-trojans,clemson-tigers,oklahoma-sooners,marshall-thundering-herd,west-virginia-mountaineers,oklahoma-state-cowboys,ucla-bruins
garland-gillen,2014,9,mississippi-state-bulldogs,ole-miss-rebels,florida-state-seminoles,alabama-crimson-tide,auburn-tigers,georgia-bulldogs,oregon-ducks,michigan-state-spartans,notre-dame-fighting-irish,kansas-state-wildcats,baylor-bears,tcu-horned-frogs,arizona-wildcats,arizona-state-sun-devils,ohio-state-buckeyes,east-carolina-pirates,utah-utes,nebraska-cornhuskers,usc-trojans,lsu-tigers,oklahoma-sooners,marshall-thundering-herd,clemson-tigers,west-virginia-mountaineers,ucla-bruins
garry-smits,2014,9,florida-state-seminoles,ole-miss-rebels,michigan-state-spartans,mississippi-state-bulldogs,oregon-ducks,alabama-crimson-tide,georgia-bulldogs,ohio-state-buckeyes,notre-dame-fighting-irish,baylor-bears,auburn-tigers,arizona-state-sun-devils,usc-trojans,kansas-state-wildcats,oklahoma-sooners,tcu-horned-frogs,east-carolina-pirates,arizona-wildcats,nebraska-cornhuskers,lsu-tigers,ucla-bruins,minnesota-golden-gophers,utah-utes,clemson-tigers,duke-blue-devils
gary-horowitz,2014,9,mississippi-state-bulldogs,ole-miss-rebels,florida-state-seminoles,alabama-crimson-tide,auburn-tigers,notre-dame-fighting-irish,georgia-bulldogs,oregon-ducks,michigan-state-spartans,tcu-horned-frogs,baylor-bears,arizona-wildcats,ohio-state-buckeyes,kansas-state-wildcats,utah-utes,arizona-state-sun-devils,oklahoma-sooners,east-carolina-pirates,nebraska-cornhuskers,marshall-thundering-herd,usc-trojans,clemson-tigers,west-virginia-mountaineers,lsu-tigers,ucla-bruins
grant-ramey,2014,9,mississippi-state-bulldogs,ole-miss-rebels,florida-state-seminoles,auburn-tigers,michigan-state-spartans,georgia-bulldogs,alabama-crimson-tide,oregon-ducks,tcu-horned-frogs,kansas-state-wildcats,arizona-state-sun-devils,notre-dame-fighting-irish,west-virginia-mountaineers,baylor-bears,east-carolina-pirates,ohio-state-buckeyes,nebraska-cornhuskers,utah-utes,duke-blue-devils,oklahoma-sooners,usc-trojans,clemson-tigers,marshall-thundering-herd,arizona-wildcats,lsu-tigers
harold-gutmann,2014,9,florida-state-seminoles,mississippi-state-bulldogs,ole-miss-rebels,oregon-ducks,auburn-tigers,alabama-crimson-tide,notre-dame-fighting-irish,georgia-bulldogs,tcu-horned-frogs,arizona-state-sun-devils,michigan-state-spartans,kansas-state-wildcats,baylor-bears,ohio-state-buckeyes,usc-trojans,nebraska-cornhuskers,arizona-wildcats,east-carolina-pirates,ucla-bruins,clemson-tigers,utah-utes,oklahoma-sooners,duke-blue-devils,lsu-tigers,west-virginia-mountaineers
iliana-limon,2014,9,florida-state-seminoles,mississippi-state-bulldogs,ole-miss-rebels,notre-dame-fighting-irish,alabama-crimson-tide,tcu-horned-frogs,michigan-state-spartans,auburn-tigers,georgia-bulldogs,oregon-ducks,kansas-state-wildcats,arizona-state-sun-devils,arizona-wildcats,ohio-state-buckeyes,east-carolina-pirates,baylor-bears,nebraska-cornhuskers,clemson-tigers,minnesota-golden-gophers,usc-trojans,duke-blue-devils,marshall-thundering-herd,utah-utes,ucla-bruins,oklahoma-sooners
jay-binkley,2014,9,mississippi-state-bulldogs,florida-state-seminoles,ole-miss-rebels,alabama-crimson-tide,notre-dame-fighting-irish,georgia-bulldogs,auburn-tigers,oregon-ducks,michigan-state-spartans,ohio-state-buckeyes,baylor-bears,tcu-horned-frogs,kansas-state-wildcats,nebraska-cornhuskers,lsu-tigers,oklahoma-sooners,arizona-state-sun-devils,usc-trojans,arizona-wildcats,utah-utes,east-carolina-pirates,clemson-tigers,louisville-cardinals,minnesota-golden-gophers,west-virginia-mountaineers
jim-polzin,2014,9,florida-state-seminoles,mississippi-state-bulldogs,ole-miss-rebels,alabama-crimson-tide,auburn-tigers,georgia-bulldogs,oregon-ducks,michigan-state-spartans,tcu-horned-frogs,kansas-state-wildcats,notre-dame-fighting-irish,baylor-bears,east-carolina-pirates,utah-utes,clemson-tigers,arizona-state-sun-devils,usc-trojans,arizona-wildcats,oklahoma-sooners,ohio-state-buckeyes,nebraska-cornhuskers,duke-blue-devils,ucla-bruins,west-virginia-mountaineers,oklahoma-state-cowboys
jimmy-burch,2014,9,mississippi-state-bulldogs,florida-state-seminoles,ole-miss-rebels,auburn-tigers,alabama-crimson-tide,notre-dame-fighting-irish,kansas-state-wildcats,tcu-horned-frogs,oregon-ducks,georgia-bulldogs,baylor-bears,michigan-state-spartans,ohio-state-buckeyes,arizona-wildcats,arizona-state-sun-devils,east-carolina-pirates,nebraska-cornhuskers,utah-utes,oklahoma-sooners,usc-trojans,marshall-thundering-herd,west-virginia-mountaineers,lsu-tigers,clemson-tigers,duke-blue-devils
joey-knight,2014,9,mississippi-state-bulldogs,florida-state-seminoles,ole-miss-rebels,alabama-crimson-tide,oregon-ducks,auburn-tigers,notre-dame-fighting-irish,kansas-state-wildcats,georgia-bulldogs,tcu-horned-frogs,michigan-state-spartans,lsu-tigers,baylor-bears,nebraska-cornhuskers,ohio-state-buckeyes,oklahoma-sooners,west-virginia-mountaineers,east-carolina-pirates,utah-utes,ucla-bruins,arizona-state-sun-devils,usc-trojans,arizona-wildcats,clemson-tigers,minnesota-golden-gophers
john-shinn,2014,9,ole-miss-rebels,mississippi-state-bulldogs,florida-state-seminoles,alabama-crimson-tide,auburn-tigers,oregon-ducks,michigan-state-spartans,notre-dame-fighting-irish,kansas-state-wildcats,georgia-bulldogs,ohio-state-buckeyes,arizona-state-sun-devils,baylor-bears,tcu-horned-frogs,arizona-wildcats,utah-utes,nebraska-cornhuskers,oklahoma-sooners,east-carolina-pirates,usc-trojans,west-virginia-mountaineers,lsu-tigers,oklahoma-state-cowboys,clemson-tigers,marshall-thundering-herd
john-silver,2014,9,mississippi-state-bulldogs,florida-state-seminoles,ole-miss-rebels,alabama-crimson-tide,auburn-tigers,notre-dame-fighting-irish,michigan-state-spartans,kansas-state-wildcats,oregon-ducks,georgia-bulldogs,tcu-horned-frogs,ohio-state-buckeyes,baylor-bears,arizona-wildcats,arizona-state-sun-devils,east-carolina-pirates,marshall-thundering-herd,nebraska-cornhuskers,usc-trojans,utah-utes,clemson-tigers,duke-blue-devils,minnesota-golden-gophers,lsu-tigers,oklahoma-sooners
jon-wilner,2014,9,mississippi-state-bulldogs,auburn-tigers,florida-state-seminoles,ole-miss-rebels,oregon-ducks,notre-dame-fighting-irish,tcu-horned-frogs,alabama-crimson-tide,michigan-state-spartans,kansas-state-wildcats,baylor-bears,georgia-bulldogs,utah-utes,oklahoma-sooners,arizona-wildcats,lsu-tigers,arizona-state-sun-devils,west-virginia-mountaineers,clemson-tigers,usc-trojans,oklahoma-state-cowboys,ohio-state-buckeyes,ucla-bruins,duke-blue-devils,east-carolina-pirates
josh-kendall,2014,9,mississippi-state-bulldogs,florida-state-seminoles,ole-miss-rebels,auburn-tigers,notre-dame-fighting-irish,michigan-state-spartans,tcu-horned-frogs,alabama-crimson-tide,georgia-bulldogs,ohio-state-buckeyes,oregon-ducks,kansas-state-wildcats,west-virginia-mountaineers,baylor-bears,oklahoma-sooners,east-carolina-pirates,ucla-bruins,arizona-wildcats,arizona-state-sun-devils,lsu-tigers,duke-blue-devils,clemson-tigers,maryland-terrapins,stanford-cardinal,nebraska-cornhuskers
keith-sargeant,2014,9,florida-state-seminoles,mississippi-state-bulldogs,ole-miss-rebels,alabama-crimson-tide,georgia-bulldogs,notre-dame-fighting-irish,oregon-ducks,michigan-state-spartans,auburn-tigers,ohio-state-buckeyes,kansas-state-wildcats,clemson-tigers,nebraska-cornhuskers,west-virginia-mountaineers,baylor-bears,tcu-horned-frogs,oklahoma-state-cowboys,arizona-state-sun-devils,usc-trojans,oklahoma-sooners,arizona-wildcats,east-carolina-pirates,utah-utes,duke-blue-devils,lsu-tigers
kellis-robinett,2014,9,mississippi-state-bulldogs,ole-miss-rebels,florida-state-seminoles,auburn-tigers,alabama-crimson-tide,notre-dame-fighting-irish,tcu-horned-frogs,kansas-state-wildcats,oregon-ducks,georgia-bulldogs,michigan-state-spartans,ohio-state-buckeyes,baylor-bears,arizona-state-sun-devils,oklahoma-sooners,west-virginia-mountaineers,arizona-wildcats,east-carolina-pirates,utah-utes,nebraska-cornhuskers,ucla-bruins,usc-trojans,colorado-state-rams,marshall-thundering-herd,oklahoma-state-cowboys
ken-medlin,2014,9,mississippi-state-bulldogs,florida-state-seminoles,ole-miss-rebels,alabama-crimson-tide,oregon-ducks,michigan-state-spartans,auburn-tigers,notre-dame-fighting-irish,georgia-bulldogs,baylor-bears,tcu-horned-frogs,kansas-state-wildcats,ohio-state-buckeyes,arizona-state-sun-devils,arizona-wildcats,east-carolina-pirates,nebraska-cornhuskers,utah-utes,duke-blue-devils,oklahoma-sooners,usc-trojans,west-virginia-mountaineers,clemson-tigers,marshall-thundering-herd,lsu-tigers
kirk-bohls,2014,9,mississippi-state-bulldogs,florida-state-seminoles,ole-miss-rebels,auburn-tigers,notre-dame-fighting-irish,kansas-state-wildcats,michigan-state-spartans,baylor-bears,tcu-horned-frogs,alabama-crimson-tide,georgia-bulldogs,oregon-ducks,arizona-state-sun-devils,usc-trojans,utah-utes,ohio-state-buckeyes,oklahoma-sooners,west-virginia-mountaineers,nebraska-cornhuskers,arizona-wildcats,ucla-bruins,duke-blue-devils,clemson-tigers,minnesota-golden-gophers,marshall-thundering-herd
kyle-ringo,2014,9,mississippi-state-bulldogs,florida-state-seminoles,ole-miss-rebels,notre-dame-fighting-irish,tcu-horned-frogs,auburn-tigers,kansas-state-wildcats,georgia-bulldogs,alabama-crimson-tide,arizona-wildcats,oregon-ducks,michigan-state-spartans,baylor-bears,nebraska-cornhuskers,ohio-state-buckeyes,arizona-state-sun-devils,utah-utes,oklahoma-sooners,clemson-tigers,usc-trojans,east-carolina-pirates,lsu-tigers,duke-blue-devils,colorado-state-rams,marshall-thundering-herd
