Player,Borda Points
Goldschmidt,380
Machado,291
Arenado,232
Freeman,220
Betts,154
Riley,116
Realmuto,98
Alonso,81
Lindor,77
Alcantara,39
Turner,29
Swanson,23
HarrisII,9
Urias,8
McNeil,6
Diaz,2
Bard,2
Schwarber,2
Marte,1
