Player,Borda Points
Trout,355
Bregman,335
Semien,228
LeMahieu,178
Bogaerts,147
Chapman,89
Springer,69
Betts,67
Cruz,62
Cole,61
Verlander,56
Devers,40
Polanco,20
Meadows,15
Lindor,13
Santana,9
Torres,8
Rosario,6
Abreu,5
Kepler,2
Moncada,1
Soler,1
Martinez,1
Olson,1
Morton,1
