Player,Borda Points
Harper,420
Goldschmidt,234
Votto,175
Rizzo,162
McCutchen,139
Arrieta,134
Greinke,130
Arenado,102
Posey,84
Kershaw,49
Bryant,34
Carpenter,26
Cespedes,24
Pollock,21
Heyward,15
Gordon,6
Rosenthal,5
Granderson,4
Cole,3
Gonzalez,3
