Player,Borda Points
Ohtani,420
GuerreroJr,269
Semien,232
Judge,171
Correa,163
Ramirez,133
Perez,103
Olson,90
Mullins,87
Lowe,34
Devers,28
Bogaerts,7
Bichette,7
Abreu,5
Cole,4
Ray,4
Eovaldi,4
Altuve,3
Hernandez,2
Zunino,1
Meadows,1
Haniger,1
Tucker,1
