Player,Borda Points
Harper,348
Soto,274
Tatis,244
Crawford,213
Turner,185
Goldschmidt,128
Riley,111
ONeill,62
Freeman,43
Muncy,38
Reynolds,33
Castellanos,24
Albies,12
Scherzer,11
Burnes,9
Votto,8
Adames,8
Machado,7
Wheeler,6
Wainwright,3
Gausman,1
WadeJr,1
Posey,1
