Teams,Borda Points
alabama-crimson-tide,605
michigan-wolverines,550
georgia-bulldogs,478
cincinnati-bearcats,474
notre-dame-fighting-irish,350
baylor-bears,298
ohio-state-buckeyes,248
ole-miss-rebels,172
oklahoma-state-cowboys,133
utah-utes,42
michigan-state-spartans,24
pittsburgh-panthers,15
byu-cougars,15
oklahoma-sooners,5
louisiana-lafayette-ragin-cajuns,1
iowa-hawkeyes,0
oregon-ducks,0
texas-am-aggies,0
houston-cougars,0
wake-forest-demon-deacons,0
clemson-tigers,0
kentucky-wildcats,0
arkansas-razorbacks,0
north-carolina-state-wolfpack,0
purdue-boilermakers,0
utah-state-aggies,0
utsa-roadrunners,0
wisconsin-badgers,0
san-diego-state-aztecs,0
minnesota-golden-gophers,0
mississippi-state-bulldogs,0
army-west-point-black-knights,0
appalachian-state-mountaineers,0
penn-state-nittany-lions,0
northern-illinois-huskies,0
