Pollster,Season,Week,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th,21st,22nd,23rd,24th,25th
aaron-mcmann,2022,16,georgia-bulldogs,tcu-horned-frogs,michigan-wolverines,ohio-state-buckeyes,tennessee-volunteers,alabama-crimson-tide,washington-huskies,penn-state-nittany-lions,oregon-ducks,lsu-tigers,tulane-green-wave,clemson-tigers,florida-state-seminoles,usc-trojans,utah-utes,oregon-state-beavers,kansas-state-wildcats,notre-dame-fighting-irish,ucla-bruins,mississippi-state-bulldogs,troy-trojans,fresno-state-bulldogs,boise-state-broncos,air-force-falcons,south-carolina-gamecocks
adam-cole,2022,16,georgia-bulldogs,tcu-horned-frogs,tennessee-volunteers,alabama-crimson-tide,michigan-wolverines,ohio-state-buckeyes,washington-huskies,oregon-ducks,tulane-green-wave,kansas-state-wildcats,lsu-tigers,clemson-tigers,penn-state-nittany-lions,utah-utes,usc-trojans,florida-state-seminoles,oregon-state-beavers,notre-dame-fighting-irish,mississippi-state-bulldogs,pittsburgh-panthers,ucla-bruins,troy-trojans,utsa-roadrunners,fresno-state-bulldogs,minnesota-golden-gophers
adam-grosbard,2022,16,georgia-bulldogs,tcu-horned-frogs,michigan-wolverines,ohio-state-buckeyes,tennessee-volunteers,alabama-crimson-tide,penn-state-nittany-lions,kansas-state-wildcats,utah-utes,washington-huskies,tulane-green-wave,usc-trojans,clemson-tigers,lsu-tigers,florida-state-seminoles,oregon-state-beavers,oregon-ducks,ucla-bruins,troy-trojans,texas-longhorns,notre-dame-fighting-irish,south-carolina-gamecocks,pittsburgh-panthers,utsa-roadrunners,mississippi-state-bulldogs
adam-zucker,2022,16,georgia-bulldogs,tcu-horned-frogs,michigan-wolverines,ohio-state-buckeyes,tennessee-volunteers,alabama-crimson-tide,penn-state-nittany-lions,washington-huskies,florida-state-seminoles,tulane-green-wave,kansas-state-wildcats,utah-utes,usc-trojans,notre-dame-fighting-irish,south-carolina-gamecocks,clemson-tigers,oregon-state-beavers,oregon-ducks,lsu-tigers,air-force-falcons,troy-trojans,mississippi-state-bulldogs,pittsburgh-panthers,texas-tech-red-raiders,illinois-fighting-illini
andy-greder,2022,16,georgia-bulldogs,ohio-state-buckeyes,tcu-horned-frogs,michigan-wolverines,tennessee-volunteers,alabama-crimson-tide,penn-state-nittany-lions,washington-huskies,oregon-ducks,utah-utes,clemson-tigers,oregon-state-beavers,kansas-state-wildcats,tulane-green-wave,florida-state-seminoles,usc-trojans,lsu-tigers,notre-dame-fighting-irish,pittsburgh-panthers,ucla-bruins,fresno-state-bulldogs,mississippi-state-bulldogs,troy-trojans,duke-blue-devils,minnesota-golden-gophers
ben-portnoy,2022,16,georgia-bulldogs,tcu-horned-frogs,michigan-wolverines,tennessee-volunteers,ohio-state-buckeyes,penn-state-nittany-lions,alabama-crimson-tide,tulane-green-wave,washington-huskies,florida-state-seminoles,oregon-state-beavers,kansas-state-wildcats,oregon-ducks,notre-dame-fighting-irish,lsu-tigers,usc-trojans,south-carolina-gamecocks,clemson-tigers,mississippi-state-bulldogs,troy-trojans,duke-blue-devils,ucla-bruins,fresno-state-bulldogs,pittsburgh-panthers,texas-tech-red-raiders
blair-kerkhoff,2022,16,georgia-bulldogs,tcu-horned-frogs,michigan-wolverines,ohio-state-buckeyes,alabama-crimson-tide,tennessee-volunteers,penn-state-nittany-lions,washington-huskies,oregon-state-beavers,tulane-green-wave,florida-state-seminoles,oregon-ducks,utah-utes,clemson-tigers,kansas-state-wildcats,lsu-tigers,usc-trojans,mississippi-state-bulldogs,notre-dame-fighting-irish,troy-trojans,fresno-state-bulldogs,pittsburgh-panthers,minnesota-golden-gophers,texas-tech-red-raiders,ucla-bruins
bob-asmussen,2022,16,georgia-bulldogs,tcu-horned-frogs,michigan-wolverines,ohio-state-buckeyes,alabama-crimson-tide,penn-state-nittany-lions,tennessee-volunteers,washington-huskies,tulane-green-wave,kansas-state-wildcats,florida-state-seminoles,lsu-tigers,oregon-ducks,oregon-state-beavers,notre-dame-fighting-irish,utah-utes,usc-trojans,clemson-tigers,mississippi-state-bulldogs,troy-trojans,pittsburgh-panthers,minnesota-golden-gophers,fresno-state-bulldogs,ucla-bruins,texas-longhorns
brett-mcmurphy,2022,16,georgia-bulldogs,tcu-horned-frogs,michigan-wolverines,ohio-state-buckeyes,tennessee-volunteers,alabama-crimson-tide,washington-huskies,penn-state-nittany-lions,oregon-state-beavers,florida-state-seminoles,tulane-green-wave,oregon-ducks,utah-utes,kansas-state-wildcats,usc-trojans,notre-dame-fighting-irish,lsu-tigers,clemson-tigers,troy-trojans,fresno-state-bulldogs,mississippi-state-bulldogs,pittsburgh-panthers,minnesota-golden-gophers,texas-tech-red-raiders,duke-blue-devils
brian-fonseca,2022,16,georgia-bulldogs,tcu-horned-frogs,michigan-wolverines,ohio-state-buckeyes,tennessee-volunteers,penn-state-nittany-lions,alabama-crimson-tide,tulane-green-wave,usc-trojans,washington-huskies,clemson-tigers,oregon-ducks,kansas-state-wildcats,florida-state-seminoles,utah-utes,oregon-state-beavers,lsu-tigers,ucla-bruins,notre-dame-fighting-irish,south-carolina-gamecocks,troy-trojans,mississippi-state-bulldogs,pittsburgh-panthers,north-carolina-tar-heels,utsa-roadrunners
brian-howell,2022,16,georgia-bulldogs,tcu-horned-frogs,michigan-wolverines,ohio-state-buckeyes,tennessee-volunteers,alabama-crimson-tide,penn-state-nittany-lions,washington-huskies,tulane-green-wave,florida-state-seminoles,utah-utes,usc-trojans,oregon-state-beavers,clemson-tigers,kansas-state-wildcats,oregon-ducks,notre-dame-fighting-irish,lsu-tigers,troy-trojans,fresno-state-bulldogs,mississippi-state-bulldogs,pittsburgh-panthers,utsa-roadrunners,ucla-bruins,boise-state-broncos
chris-murray,2022,16,georgia-bulldogs,tcu-horned-frogs,michigan-wolverines,tennessee-volunteers,ohio-state-buckeyes,alabama-crimson-tide,penn-state-nittany-lions,tulane-green-wave,washington-huskies,utah-utes,usc-trojans,oregon-state-beavers,oregon-ducks,kansas-state-wildcats,clemson-tigers,florida-state-seminoles,lsu-tigers,mississippi-state-bulldogs,troy-trojans,notre-dame-fighting-irish,pittsburgh-panthers,ucla-bruins,fresno-state-bulldogs,air-force-falcons,duke-blue-devils
chuck-carlton,2022,16,georgia-bulldogs,tcu-horned-frogs,michigan-wolverines,ohio-state-buckeyes,alabama-crimson-tide,tennessee-volunteers,penn-state-nittany-lions,washington-huskies,tulane-green-wave,utah-utes,usc-trojans,clemson-tigers,florida-state-seminoles,oregon-state-beavers,kansas-state-wildcats,oregon-ducks,lsu-tigers,notre-dame-fighting-irish,troy-trojans,ucla-bruins,south-carolina-gamecocks,mississippi-state-bulldogs,texas-longhorns,pittsburgh-panthers,fresno-state-bulldogs
chuck-landon,2022,16,georgia-bulldogs,tcu-horned-frogs,michigan-wolverines,tennessee-volunteers,alabama-crimson-tide,ohio-state-buckeyes,penn-state-nittany-lions,tulane-green-wave,washington-huskies,oregon-ducks,lsu-tigers,oregon-state-beavers,notre-dame-fighting-irish,florida-state-seminoles,pittsburgh-panthers,utah-utes,clemson-tigers,kansas-state-wildcats,usc-trojans,troy-trojans,mississippi-state-bulldogs,ucla-bruins,south-carolina-gamecocks,texas-longhorns,utsa-roadrunners
colten-bartholomew,2022,16,georgia-bulldogs,tcu-horned-frogs,michigan-wolverines,ohio-state-buckeyes,tennessee-volunteers,alabama-crimson-tide,penn-state-nittany-lions,utah-utes,lsu-tigers,washington-huskies,tulane-green-wave,usc-trojans,kansas-state-wildcats,oregon-ducks,oregon-state-beavers,clemson-tigers,ucla-bruins,florida-state-seminoles,mississippi-state-bulldogs,notre-dame-fighting-irish,texas-longhorns,south-carolina-gamecocks,pittsburgh-panthers,troy-trojans,north-carolina-tar-heels
damien-sordelett,2022,16,georgia-bulldogs,tcu-horned-frogs,michigan-wolverines,ohio-state-buckeyes,tennessee-volunteers,alabama-crimson-tide,penn-state-nittany-lions,tulane-green-wave,washington-huskies,usc-trojans,oregon-state-beavers,oregon-ducks,clemson-tigers,florida-state-seminoles,utah-utes,kansas-state-wildcats,troy-trojans,lsu-tigers,notre-dame-fighting-irish,mississippi-state-bulldogs,pittsburgh-panthers,utsa-roadrunners,ucla-bruins,air-force-falcons,fresno-state-bulldogs
darren-haynes,2022,16,georgia-bulldogs,ohio-state-buckeyes,tcu-horned-frogs,michigan-wolverines,tennessee-volunteers,alabama-crimson-tide,penn-state-nittany-lions,tulane-green-wave,washington-huskies,usc-trojans,utah-utes,clemson-tigers,kansas-state-wildcats,lsu-tigers,florida-state-seminoles,notre-dame-fighting-irish,oregon-state-beavers,oregon-ducks,troy-trojans,utsa-roadrunners,texas-longhorns,pittsburgh-panthers,mississippi-state-bulldogs,ucla-bruins,south-carolina-gamecocks
dave-reardon,2022,16,georgia-bulldogs,tcu-horned-frogs,michigan-wolverines,ohio-state-buckeyes,tennessee-volunteers,alabama-crimson-tide,penn-state-nittany-lions,washington-huskies,tulane-green-wave,oregon-state-beavers,florida-state-seminoles,oregon-ducks,utah-utes,kansas-state-wildcats,usc-trojans,lsu-tigers,troy-trojans,notre-dame-fighting-irish,clemson-tigers,mississippi-state-bulldogs,texas-tech-red-raiders,fresno-state-bulldogs,pittsburgh-panthers,utsa-roadrunners,air-force-falcons
