Pollster,Season,Week,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th,21st,22nd,23rd,24th,25th
aaron-mcmann,2018,7,alabama-crimson-tide,georgia-bulldogs,ohio-state-buckeyes,clemson-tigers,notre-dame-fighting-irish,washington-huskies,west-virginia-mountaineers,penn-state-nittany-lions,ucf-knights,texas-longhorns,oklahoma-sooners,wisconsin-badgers,michigan-wolverines,miami-fl-hurricanes,florida-gators,lsu-tigers,colorado-buffaloes,south-florida-bulls,cincinnati-bearcats,north-carolina-state-wolfpack,oregon-ducks,auburn-tigers,texas-am-aggies,kentucky-wildcats,washington-state-cougars
adam-jude,2018,7,alabama-crimson-tide,georgia-bulldogs,clemson-tigers,ohio-state-buckeyes,notre-dame-fighting-irish,west-virginia-mountaineers,texas-longhorns,washington-huskies,penn-state-nittany-lions,oklahoma-sooners,florida-gators,lsu-tigers,oregon-ducks,ucf-knights,colorado-buffaloes,michigan-wolverines,kentucky-wildcats,miami-fl-hurricanes,north-carolina-state-wolfpack,wisconsin-badgers,auburn-tigers,texas-am-aggies,washington-state-cougars,stanford-cardinal,mississippi-state-bulldogs
andy-greder,2018,7,alabama-crimson-tide,georgia-bulldogs,ohio-state-buckeyes,clemson-tigers,notre-dame-fighting-irish,washington-huskies,west-virginia-mountaineers,penn-state-nittany-lions,michigan-wolverines,texas-longhorns,oklahoma-sooners,ucf-knights,florida-gators,lsu-tigers,miami-fl-hurricanes,auburn-tigers,oregon-ducks,texas-am-aggies,north-carolina-state-wolfpack,colorado-buffaloes,tcu-horned-frogs,kentucky-wildcats,south-florida-bulls,iowa-hawkeyes,cincinnati-bearcats
ben-jones,2018,7,alabama-crimson-tide,ohio-state-buckeyes,clemson-tigers,georgia-bulldogs,notre-dame-fighting-irish,penn-state-nittany-lions,west-virginia-mountaineers,washington-huskies,texas-longhorns,wisconsin-badgers,oklahoma-sooners,michigan-wolverines,ucf-knights,colorado-buffaloes,lsu-tigers,stanford-cardinal,oregon-ducks,kentucky-wildcats,miami-fl-hurricanes,florida-gators,north-carolina-state-wolfpack,auburn-tigers,texas-am-aggies,iowa-hawkeyes,tcu-horned-frogs
blake-toppmeyer,2018,7,alabama-crimson-tide,georgia-bulldogs,ohio-state-buckeyes,notre-dame-fighting-irish,clemson-tigers,west-virginia-mountaineers,penn-state-nittany-lions,washington-huskies,ucf-knights,texas-longhorns,michigan-wolverines,wisconsin-badgers,oklahoma-sooners,oregon-ducks,colorado-buffaloes,texas-am-aggies,kentucky-wildcats,florida-gators,lsu-tigers,miami-fl-hurricanes,mississippi-state-bulldogs,north-carolina-state-wolfpack,auburn-tigers,cincinnati-bearcats,iowa-hawkeyes
bob-asmussen,2018,7,alabama-crimson-tide,georgia-bulldogs,ohio-state-buckeyes,clemson-tigers,notre-dame-fighting-irish,west-virginia-mountaineers,washington-huskies,wisconsin-badgers,texas-longhorns,penn-state-nittany-lions,oklahoma-sooners,michigan-wolverines,ucf-knights,florida-gators,lsu-tigers,miami-fl-hurricanes,oregon-ducks,colorado-buffaloes,kentucky-wildcats,north-carolina-state-wolfpack,auburn-tigers,south-florida-bulls,cincinnati-bearcats,mississippi-state-bulldogs,texas-am-aggies
brandon-marcello,2018,7,alabama-crimson-tide,ohio-state-buckeyes,georgia-bulldogs,clemson-tigers,notre-dame-fighting-irish,penn-state-nittany-lions,west-virginia-mountaineers,ucf-knights,washington-huskies,wisconsin-badgers,texas-longhorns,oklahoma-sooners,florida-gators,lsu-tigers,oregon-ducks,miami-fl-hurricanes,michigan-wolverines,kentucky-wildcats,mississippi-state-bulldogs,auburn-tigers,north-carolina-state-wolfpack,colorado-buffaloes,cincinnati-bearcats,texas-am-aggies,south-florida-bulls
brent-axe,2018,7,alabama-crimson-tide,georgia-bulldogs,ohio-state-buckeyes,clemson-tigers,notre-dame-fighting-irish,west-virginia-mountaineers,penn-state-nittany-lions,ucf-knights,washington-huskies,texas-longhorns,oklahoma-sooners,michigan-wolverines,wisconsin-badgers,florida-gators,lsu-tigers,miami-fl-hurricanes,kentucky-wildcats,north-carolina-state-wolfpack,oregon-ducks,colorado-buffaloes,south-florida-bulls,texas-am-aggies,cincinnati-bearcats,mississippi-state-bulldogs,auburn-tigers
brett-mcmurphy,2018,7,alabama-crimson-tide,georgia-bulldogs,ohio-state-buckeyes,notre-dame-fighting-irish,clemson-tigers,west-virginia-mountaineers,washington-huskies,penn-state-nittany-lions,michigan-wolverines,florida-gators,lsu-tigers,texas-longhorns,oklahoma-sooners,ucf-knights,colorado-buffaloes,kentucky-wildcats,miami-fl-hurricanes,oregon-ducks,wisconsin-badgers,north-carolina-state-wolfpack,auburn-tigers,south-florida-bulls,cincinnati-bearcats,washington-state-cougars,texas-am-aggies
brian-howell,2018,7,alabama-crimson-tide,georgia-bulldogs,ohio-state-buckeyes,notre-dame-fighting-irish,clemson-tigers,penn-state-nittany-lions,washington-huskies,west-virginia-mountaineers,texas-longhorns,oklahoma-sooners,florida-gators,lsu-tigers,michigan-wolverines,wisconsin-badgers,miami-fl-hurricanes,ucf-knights,oregon-ducks,colorado-buffaloes,auburn-tigers,cincinnati-bearcats,south-florida-bulls,north-carolina-state-wolfpack,texas-am-aggies,kentucky-wildcats,washington-state-cougars
