Pollster,Season,Week,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th,21st,22nd,23rd,24th,25th
aaron-mcmann,2018,3,alabama-crimson-tide,georgia-bulldogs,oklahoma-sooners,clemson-tigers,ohio-state-buckeyes,wisconsin-badgers,auburn-tigers,washington-huskies,stanford-cardinal,notre-dame-fighting-irish,penn-state-nittany-lions,virginia-tech-hokies,mississippi-state-bulldogs,lsu-tigers,miami-fl-hurricanes,tcu-horned-frogs,boise-state-broncos,michigan-state-spartans,usc-trojans,michigan-wolverines,west-virginia-mountaineers,oregon-ducks,ucf-knights,maryland-terrapins,colorado-buffaloes
adam-jude,2018,3,clemson-tigers,alabama-crimson-tide,georgia-bulldogs,wisconsin-badgers,ohio-state-buckeyes,auburn-tigers,oklahoma-sooners,notre-dame-fighting-irish,west-virginia-mountaineers,washington-huskies,stanford-cardinal,lsu-tigers,virginia-tech-hokies,tcu-horned-frogs,utah-utes,mississippi-state-bulldogs,penn-state-nittany-lions,michigan-wolverines,boise-state-broncos,arizona-state-sun-devils,ucf-knights,oregon-ducks,usc-trojans,miami-fl-hurricanes,boston-college-eagles
andy-greder,2018,3,alabama-crimson-tide,georgia-bulldogs,clemson-tigers,wisconsin-badgers,auburn-tigers,ohio-state-buckeyes,oklahoma-sooners,washington-huskies,stanford-cardinal,notre-dame-fighting-irish,penn-state-nittany-lions,lsu-tigers,virginia-tech-hokies,tcu-horned-frogs,michigan-wolverines,usc-trojans,west-virginia-mountaineers,ucf-knights,mississippi-state-bulldogs,miami-fl-hurricanes,oklahoma-state-cowboys,boise-state-broncos,oregon-ducks,houston-cougars,utah-utes
ben-jones,2018,3,alabama-crimson-tide,clemson-tigers,ohio-state-buckeyes,georgia-bulldogs,oklahoma-sooners,wisconsin-badgers,auburn-tigers,penn-state-nittany-lions,notre-dame-fighting-irish,stanford-cardinal,washington-huskies,tcu-horned-frogs,virginia-tech-hokies,michigan-wolverines,boise-state-broncos,west-virginia-mountaineers,lsu-tigers,mississippi-state-bulldogs,ucf-knights,miami-fl-hurricanes,oregon-ducks,boston-college-eagles,usc-trojans,utah-utes,houston-cougars
bill-landis,2018,3,alabama-crimson-tide,clemson-tigers,georgia-bulldogs,ohio-state-buckeyes,auburn-tigers,notre-dame-fighting-irish,washington-huskies,oklahoma-sooners,penn-state-nittany-lions,wisconsin-badgers,stanford-cardinal,lsu-tigers,mississippi-state-bulldogs,virginia-tech-hokies,tcu-horned-frogs,oregon-ducks,boise-state-broncos,ucf-knights,michigan-wolverines,arizona-state-sun-devils,west-virginia-mountaineers,miami-fl-hurricanes,oklahoma-state-cowboys,michigan-state-spartans,usc-trojans
blake-toppmeyer,2018,3,alabama-crimson-tide,georgia-bulldogs,clemson-tigers,wisconsin-badgers,ohio-state-buckeyes,oklahoma-sooners,auburn-tigers,stanford-cardinal,notre-dame-fighting-irish,washington-huskies,ucf-knights,lsu-tigers,tcu-horned-frogs,west-virginia-mountaineers,mississippi-state-bulldogs,virginia-tech-hokies,penn-state-nittany-lions,boise-state-broncos,texas-am-aggies,michigan-wolverines,oregon-ducks,oklahoma-state-cowboys,miami-fl-hurricanes,hawaii-warriors,duke-blue-devils
bob-asmussen,2018,3,wisconsin-badgers,alabama-crimson-tide,georgia-bulldogs,clemson-tigers,ohio-state-buckeyes,oklahoma-sooners,auburn-tigers,virginia-tech-hokies,penn-state-nittany-lions,stanford-cardinal,notre-dame-fighting-irish,washington-huskies,lsu-tigers,west-virginia-mountaineers,mississippi-state-bulldogs,usc-trojans,michigan-wolverines,boise-state-broncos,ucf-knights,miami-fl-hurricanes,tcu-horned-frogs,oregon-ducks,utah-utes,arizona-state-sun-devils,michigan-state-spartans
brandon-marcello,2018,3,alabama-crimson-tide,georgia-bulldogs,clemson-tigers,wisconsin-badgers,auburn-tigers,ohio-state-buckeyes,oklahoma-sooners,washington-huskies,west-virginia-mountaineers,tcu-horned-frogs,mississippi-state-bulldogs,stanford-cardinal,notre-dame-fighting-irish,lsu-tigers,virginia-tech-hokies,ucf-knights,boise-state-broncos,oklahoma-state-cowboys,penn-state-nittany-lions,oregon-ducks,usc-trojans,miami-fl-hurricanes,utah-utes,texas-am-aggies,michigan-wolverines
brent-axe,2018,3,alabama-crimson-tide,clemson-tigers,georgia-bulldogs,ohio-state-buckeyes,oklahoma-sooners,auburn-tigers,notre-dame-fighting-irish,wisconsin-badgers,stanford-cardinal,lsu-tigers,penn-state-nittany-lions,west-virginia-mountaineers,mississippi-state-bulldogs,washington-huskies,virginia-tech-hokies,tcu-horned-frogs,boise-state-broncos,ucf-knights,oregon-ducks,maryland-terrapins,oklahoma-state-cowboys,arizona-state-sun-devils,boston-college-eagles,houston-cougars,kentucky-wildcats
brett-mcmurphy,2018,3,alabama-crimson-tide,georgia-bulldogs,clemson-tigers,auburn-tigers,oklahoma-sooners,ohio-state-buckeyes,stanford-cardinal,notre-dame-fighting-irish,wisconsin-badgers,west-virginia-mountaineers,washington-huskies,lsu-tigers,penn-state-nittany-lions,arizona-state-sun-devils,mississippi-state-bulldogs,virginia-tech-hokies,boston-college-eagles,boise-state-broncos,tcu-horned-frogs,michigan-wolverines,ucf-knights,miami-fl-hurricanes,oregon-ducks,utah-utes,hawaii-warriors
brian-howell,2018,3,alabama-crimson-tide,georgia-bulldogs,clemson-tigers,wisconsin-badgers,oklahoma-sooners,ohio-state-buckeyes,auburn-tigers,notre-dame-fighting-irish,washington-huskies,penn-state-nittany-lions,virginia-tech-hokies,stanford-cardinal,lsu-tigers,boise-state-broncos,mississippi-state-bulldogs,west-virginia-mountaineers,usc-trojans,miami-fl-hurricanes,michigan-wolverines,oregon-ducks,tcu-horned-frogs,ucf-knights,boston-college-eagles,houston-cougars,texas-am-aggies
